# Adipose -- 13 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Adipocyte stem cell	57187	LAMA2;ANK2;CRISPLD2;REV3L;DCLK1;KLF9;KAZN;RORA;ZFHX3;CBLB;ABLIM1;ABL2;EGFR;SASH1;USP53;COL5A2;UST;PLXDC2;FBXL7;NEGR1;ABCA9;CREB5;SLC39A14;CHD1;SH3PXD2B;TRIO;SH3D19;PTPRG;GFPT2;SYNE1;HAS2;ABCA6;LPP;STK24;SLC19A2;SERPINE1;DST;ECE1;TACC1;GAS7;KIF1B;GPRC5A;PMEPA1;SNED1;PID1;FNDC3B;EBF1;NAMPT;GALNTL5;DDX21	CL:0002334	preadipocyte	CL:0009099 fibro/adipogenic progenitor cell | CL:0000057 fibroblast | CL:0002334 preadipocyte | CL:0000134 mesenchymal stem cell | CL:0002570 mesenchymal stem cell of adipose tissue			
Committed preadipocyte	21414	COL8A1;BCHE;PKHD1L1;UPK3B;CLDN15;CLDN1;CXADR;KRT7;KLK11;MSLN;KRT19;ALOX15;IL18;DSC2;ANXA3;CALB2;FAM153B;SLC39A8;UPK1B;PAWR;DMKN;SLC9A3R1;ITGB8;SERTM1;MGARP;PDZK1IP1;KRT8;VIPR2;MUC16;LXN;HSD17B6;PERP;ID4;TSTD1;GJA1;SLC40A1;EPHB6;KDR;DSP;ASIC2;TFPI2;CTNNAL1;ITLN1;SULF1;KRT18;CFI;LINC00842;CMYA5;VAMP8;CLIC3	CL:0002334	preadipocyte	CL:0000077 mesothelial cell | CL:0000839 myeloid lineage restricted progenitor cell | CL:0008001 hematopoietic precursor cell | CL:0000066 epithelial cell | CL:0002138 endothelial cell of lymphatic vessel			
Adipocyte progenitor cell	11728	PCDH18;SFRP2;CYP1B1;BARX1;CAMK2N1;SFRP1;IGF2;CLDN11;OAF;PLAT;RSPO3;IL33;HIC1;TCF21;ENG;COX7A1;CALHM2;MFAP2;PDLIM2;LITAF;IER5L;NQO2;METRNL;GRINA;SLC43A3;EHD2;LARP6;LRRN4CL;KANK2;CYTOR;PDGFRB;NT5E;BIN1;GATD3A;SPON2;ALDH1A1;KCTD12;PTGES;ITGB5;ANKRD35;ITGB1BP1;ADAMTSL3;PKDCC;EVA1B;AKR1C3;ZCCHC24;JDP2;ZNF503;TRIOBP;ABHD14A	CL:0011026	progenitor cell	CL:0000134 mesenchymal stem cell | CL:0002570 mesenchymal stem cell of adipose tissue | CL:0002334 preadipocyte | CL:0000057 fibroblast | CL:0011115 precursor cell			
Macrophage	10362	RBM47;MSR1;LAPTM5;ITGB2;RILPL2;TBXAS1;PTPRE;NAMPT;CTSS;MS4A4A;RNF149;IQGAP2;ARHGAP26;DPYD;MRC1;SPIDR;ZEB2;ADAMTSL4-AS1;ATG7;MS4A6A;SAMHD1;ITGAX;SIK3;ZSWIM6;TRPS1;C5AR1;FMN1;LRMDA;RNF130;SIPA1L1;FGD4;AIF1;ADGRE5;CSGALNACT2;PLXDC2;HCLS1;TET2;JARID2;RASGEF1B;MYO9B;USP15;CTSB;LYZ;AOAH;RAB31;DOCK4;HDAC9;LDLRAD4;IRAK3;NR4A2	CL:0000235	macrophage	CL:0000775 neutrophil | CL:0000081 blood cell | CL:0000576 monocyte | CL:0000113 mononuclear phagocyte | CL:0000235 macrophage			
Endothelial cell	8543	CCL2;VWF;PTPRB;PECAM1;ADAMTS9;ADGRL4;MCTP1;LDB2;PITPNC1;EMCN;RALGAPA2;ICAM1;MT1E;KALRN;MT1M;ZNF385D;NAMPT;CNKSR3;PLCB4;RPGR;NEDD9;EPAS1;PLEKHG1;IFI27;ERG;MT1A;TMTC1;PTPRM;CAVIN2;BMPR2;ABLIM3;IER3;DOCK9;ADIRF;MECOM;DDX21;DOCK4;ST6GALNAC3;EVA1C;KIAA1217;ABLIM1;TM4SF1;A2M;LMCD1;CLDN5;PREX2;MYH9;TACC1;CDH13;IL6	CL:0000115	endothelial cell	CL:0000115 endothelial cell | CL:0000066 epithelial cell | CL:0002138 endothelial cell of lymphatic vessel | CL:0000669 pericyte | CL:0008034 mural cell			
Smooth muscle cell	7904	APOE;DEPP1;CXCL14;IGFBP3;FST;NTRK2;RND3;FIBIN;TSC22D1;SRPX;INTS6;ENPP2;CYGB;BTG2;CDKN1A;FHL2;FOXO3;RAI2;GGT5;ZBTB16;EPHX1;PPP1R15A;ATF3;DIO3OS;CLEC2B;CITED2;IGF1;AGTR1;AADAC;CCN1;SERTAD1;CXCL12;MID1IP1;ERRFI1;CNTN1;PLPP3;SGCE;SOCS3;VCAM1;SAMHD1;IFNGR1;JADE1;RHOBTB3;MYOC;AEBP1;MITF;RBPMS;ZFAND5;NDUFB8;MAFB	CL:0000192	smooth muscle cell	CL:0000057 fibroblast | CL:0002334 preadipocyte | CL:0002320 connective tissue cell | CL:0000669 pericyte | CL:0000134 mesenchymal stem cell			
T cell	5440	ETS1;PTPRC;CD96;PARP8;SLFN12L;FYB1;ARHGAP15;RIPOR2;STAT4;CD2;SKAP1;ARL4C;CNOT6L;SAMD3;CLEC2D;EML4;SMCHD1;PPP2R5C;TRBC2;PRKCH;IL32;ITK;ADGRE5;CD247;CD69;CD53;ARHGDIB;PITPNC1;PYHIN1;IQGAP2;GIMAP7;CCND3;SEPSECS;MBNL1;MYBL1;CASP8;RNF19A;RUNX3;DAPK1;TNFAIP3;CXCR4;STK17B;BCL11B;ITGA4;CD3G;BACH2;PCED1B-AS1;SYTL3;AOAH;BIN2	CL:0000084	T cell	CL:0000625 CD8-positive, alpha-beta T cell | CL:0000791 mature alpha-beta T cell | CL:0000084 T cell | CL:0000789 alpha-beta T cell | CL:0000624 CD4-positive, alpha-beta T cell			
Interstitial cell	1279	TPPP3;LOXL1;CILP;OSR2;CD55;PIGT;FNDC1;PI16;FN1;VIT;FAM180B;EFHD1;PPIC;SELENOF;ECM1;UQCR11;TNXB;PLD3;ANGPTL2;CAPN5;HEXB;TRAC;AXL;TMEM109;PCOLCE2;SFRP4;MFAP5;UAP1;ASPN;LTBP4;TAX1BP3;CYP4B1;PKM;SF3B6;TAGLN2;PAMR1;NBL1;AP3S1;CCN2;TMBIM4;CPQ;CD34;SDCBP;PRSS23;CAVIN3;TPST1;VSIR;ISLR;ADAMTSL4;CLEC3B	CL:4030031	interstitial cell	CL:0000775 neutrophil | CL:0000081 blood cell | CL:0000236 B cell | CL:0000945 lymphocyte of B lineage | CL:0000057 fibroblast			
Naive T cell	1207	CD52;CD48;LTB;CD37;ARHGDIB;CD3D;IL32;CORO1A;GPSM3;CXCR4;KLRB1;CREM;CD3E;LAPTM5;GMFG;TRBC2;CD69;IL7R;LEPROTL1;FXYD5;ACAP1;LIMD2;TRAC;SARAF;CYTIP;ISG20;HCST;TRBC1;RAC2;RPL38;ICAM3;NOSIP;CD2;RPSA;SNHG32;CD44;RPS10;LDHB;IDS;TNFAIP3;CD7;EVL;CCND3;YPEL5;TOMM7;EEF1B2;RPL27;FYB1;C9orf16;HINT1	CL:0000898	naive T cell	CL:0000785 mature B cell | CL:0000787 memory B cell | CL:0000970 unswitched memory B cell | CL:0000813 memory T cell | CL:0000913 effector memory CD8-positive, alpha-beta T cell			
Activated T cell	1003	NKG7;GNLY;CST7;CCL5;GZMB;CCL4;GZMH;HCST;FGFBP2;CTSW;KLRB1;ARHGDIB;GZMA;IL32;CREM;HOPX;CD7;CORO1A;CD3D;CXCR4;CD52;GZMM;RAC2;CD48;KLRD1;CD37;GMFG;ISG20;TUBA4A;PRF1;GPSM3;TRBC1;CD247;TRBC2;SRGN;LIMD2;LAPTM5;NR4A2;ACAP1;CD3E;ITGB2;UCP2;FCGR3A;LGALS13;CD69;CCND3;TYROBP;ARL4C;CCL3;LITAF	CL:0000084	T cell	CL:0000931 activated type II NK T cell | CL:0000913 effector memory CD8-positive, alpha-beta T cell | CL:0000813 memory T cell | CL:0001065 innate lymphoid cell | CL:0000623 natural killer cell			
