# Adrenal_gland -- 12 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Steroidogenic cortical cell	43125		CL:0002097	cortical cell of adrenal gland			
Chromaffin cell	26020		CL:0000166	chromaffin cell			
Vascular endothelial cell	15469		CL:0002139	endothelial cell of vascular tree			
Stromal cell	11813		CL:0000499	stromal cell			
Capsular cell	7017						
Sympathetic neuron	5735		CL:0011103	sympathetic neuron			
Myeloid cell	3421		CL:0000763	myeloid cell			
Endothelial cell	1320		CL:0000115	endothelial cell			
Schwann cell	964		CL:0002573	Schwann cell			
Lymphoid cell	932		CL:0000542	lymphocyte			
Megakaryocyte	892		CL:0000556	megakaryocyte			
Schwann cell precursors (SCPs)	579						
