# Bladder -- 12 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Fibroblast	7459	PCOLCE2;SFRP2;CILP;OGN;PI16;CCDC80;DPT;MFAP5;GAS1;PDGFRL;ABCA9;FBLN2;PODN;VIT;ABCA6;SFRP1;PTGIS;DCLK1;FBLN5;FBN1;SPOCK1;GFPT2;CD248;OMD;CCN5;NEGR1;TNXB;SERPINE2;PLA2G2A;SCARA5;LAMA2;RSPO3;ITGBL1;GPNMB;PRRX1;ABI3BP;PCOLCE;SVEP1;TNFAIP6;VEGFD;THBS2;MYOC;CXCL10;CAPN5;ISLR;TWIST2;FIBIN;RARRES1;AOX1;PID1	CL:0000057	fibroblast	CL:0000057 fibroblast | CL:1000413 endothelial cell of artery | CL:0000071 blood vessel endothelial cell | CL:0002139 endothelial cell of vascular tree | CL:0002138 endothelial cell of lymphatic vessel			
Macrophage	5841	F13A1;VSIG4;C1QA;CD163;C1QC;C1QB;FCGR2A;FOLR2;MS4A4A;ADAP2;LAIR1;C3AR1;LUCAT1;CSF1R;MS4A6A;RNASE6;MFSD1;IL10;PLEK;TLR2;OGFRL1;MARCO;CD4;CCL3;NLRP3;HMOX1;EPB41L3;MSR1;EMILIN2;MAFB;NINJ1;IL13RA1;DSE;SLC1A3;NPL;ACSL1;RNF144B;STAB1;KIF20B;ATP6V1B2;SNX10;IGSF6;RASGEF1B;TPP1;CCR1;C15orf48;PFKFB3;ATP6V0D1;OLR1;C1orf162	CL:0000235	macrophage	CL:0000235 macrophage | CL:0000145 professional antigen presenting cell | CL:0000451 dendritic cell | CL:0000113 mononuclear phagocyte | CL:0000766 myeloid leukocyte			
Urothelial cell	5387	CLDN7;SMIM22;FAM3B;EHF;AKR1C2;CXADR;GPX2;SERINC2;PSCA;KRT7;TSPAN1;SLC2A1;SYT8;MIR205HG;KRT19;RAB25;LIPH;VSIG2;TMPRSS4;CLDN1;C10orf99;CYP3A5;ELF3;LINC00511;EPCAM;TRIM29;SPINT1;UPK1B;TACSTD2;IRF6;MAL2;LAMB3;ADGRF1;C19orf33;BCAS1;OVOL1;TRIM31;AQP3;LMO7;FOXQ1;UPK1A;NECTIN4;CADPS;DSG2;SERPINB5;KRT13;TMEM40;KRT8;FZR1;BTBD16	CL:0000731	urothelial cell	CL:4030056 umbrella cell of urothelium | CL:0000731 urothelial cell | CL:4030055 intermediate cell of urothelium | CL:1000486 basal cell of urothelium | CL:0000151 secretory cell			
T cell	4426	IL7R;KLRB1;LTB;RCAN3;IDS;PTGER4;SPOCK2;CD8A;SCML4;CITED2;STAT4;CD96;TTC39C;TSPYL2;CD3E;NSMCE3;TCF7;GPR171;TRAT1;TRAC;MGAT4A;TRBC1;CRYBG1;P2RY10;CD3G;CD6;EVI2A;TAGAP;CD8B;PDE3B;RGCC;SOCS1;PARP8;SATB1;SC5D;GPSM3;EML4;PIK3IP1;PAXX;CAMK4;CD37;ABRACL;PDCL3;CDKN1B;CD3D;RORA;PTGER2;RGS10;LDLRAD4;GTF2B	CL:0000084	T cell	CL:0000084 T cell | CL:0000542 lymphocyte | CL:0000842 mononuclear leukocyte | CL:0000738 leukocyte | CL:0000236 B cell			
Myofibroblast	2027	TRPA1;BMP5;CDH11;FOXF1;COL8A1;NDNF;FENDRR;CNTN1;PITX1;LAMC3;SPON1;PRKAR2B;APCDD1;PAPPA;RBP4;HSD17B2;TCF21;PLAGL1;VCAM1;EMILIN1;LINC01082;BDKRB2;SAMD11;MXRA5;PLEKHH2;PTCH1;PLEKHA5;TBX3;KCNQ1OT1;CYGB;PLPPR4;CLMP;MOXD1;TEAD1;BMP4;SNAI2;REV3L;GCSH;VASN;IL1R1;PHLDA1;TLE4;ADM;LINC00472;CCNA2;TPBG;HHIP;OSR2;ANTXR1;GNAI1	CL:0000186	myofibroblast cell	CL:1000413 endothelial cell of artery | CL:0000057 fibroblast | CL:0000192 smooth muscle cell | CL:0000071 blood vessel endothelial cell | CL:0002139 endothelial cell of vascular tree			
Endothelial cell	1325	ACKR1;SELE;HLA-DPA1;RAMP3;HLA-DPB1;HLA-DQA1;SLCO2A1;PLVAP;PRCP;IL6;HLA-DMA;HLA-DRB1;LPAR6;RPS17;CCL2;HLA-DQB1;TMSB4XP4;KLF10;GJA1;GNG5;IL33;AQP1;CNIH1;TMEM70;STC1;PLSCR1;WDR83OS;RASA4;RND1;S1PR1;CALCRL;LIFR;POSTN;GATD3A;COL15A1;ADAMTS4;SLIRP;SLC2A3;HLA-E;PET100;SNRPG;TPD52L1;SNHG32;BHLHE40;ICAM1;CXCL10;BCL3;H1-0;HEG1;CFI	CL:0000115	endothelial cell	CL:0002543 vein endothelial cell | CL:0000451 dendritic cell | CL:0000115 endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0002139 endothelial cell of vascular tree			
Plasma B cell	1140	DERL3;MZB1;JCHAIN;TNFRSF17;IGHA2;SPINK2;SPAG4;FCRL5;IGHA1;SLAMF7;ANKRD36BP2;CD27;IGLC2;POU2AF1;PLPP5;FKBP11;RAB30;TXNDC11;GNG7;CD38;SRPRB;TP53INP1;GPR15;CRELD2;DNAJB9;DMAP1;SEL1L;CLPTM1L;MEI1;TNFRSF18;SDF2L1;TPD52;SEL1L3;ALG5;SIL1;PAIP2B;CREB3L2;FBXW7;IGKC;FKBP2;HSPA13;DERL1;PNOC;IGLC3;PDIA4;PIM2;TXNDC15;MANF;MANEA;EHMT1	CL:0000786	plasma cell	CL:0000945 lymphocyte of B lineage | CL:0000542 lymphocyte | CL:0000738 leukocyte | CL:0000842 mononuclear leukocyte | CL:0000236 B cell			
Mast cell	1123	TPSAB1;TPSB2;CPA4;HPGDS;RHEX;MS4A1;IL1RL1;KIT;SLC18A2;VWA5A;CTSG;RGS18;CALB2;LTC4S;GCSAML;ALOX5AP;SIGLEC6;MAOB;FCER1A;ADCYAP1;CTNNBL1;DHRS9;RAB27B;HECA;GATA2;BTK;DUSP14;LAX1;ARHGAP18;GNPTAB;CD82;RAB32;MSRA;LEO1;TDRD3;SIGLEC17P;CAPG;NTM;STX3;FER;IL18R1;PTGS2;ATP6V0A2;ACSL4;CSF1;PTGS1;BIRC3;BMP2K;SMYD3;GABPAP	CL:0000097	mast cell	CL:0000151 secretory cell | CL:0000766 myeloid leukocyte | CL:0000738 leukocyte | CL:4030055 intermediate cell of urothelium | CL:4030006 fallopian tube secretory epithelial cell			
Stromal cell	1009	CCL2;CCN1;SEPTIN7;CXCL10;SNHG32;TNFAIP6;FTLP3;CD99;RPS17;PLA2G2A;PTGS2;GATD3A;APOD;SLPI;IL6;WDR83OS;MYOC;TMSB4XP4;SEPTIN2;CXCL12;HIGD1A;SERPINA3;CCL11;CCN2;H1-0;CFH;BDKRB1;PET100;MYC;SNRPG;MATR3;KLF10;HLA-E;CH25H;EIF4A3;MATN2;SLIRP;GEM;DPT;CXCL14;RPS27L;GNG5;EFEMP1;PTP4A1;TMSB4XP8;ATP5MPL;ID2;MIR4458HG;NAT8;ANAPC13	CL:0000499	stromal cell	CL:0002543 vein endothelial cell | CL:0000359 vascular associated smooth muscle cell | CL:0000071 blood vessel endothelial cell | CL:0002139 endothelial cell of vascular tree | CL:1000413 endothelial cell of artery			
Pericyte	838	RERGL;NOTCH3;FHL5;EFHD1;FRZB;KCNAB1;C1QTNF1;NTRK2;RCAN2;BGN;AVPR1A;SLC7A2;ADRA2A;MT1A;RASL12;NTRK3;RASL11A;PPP1R12B;PTGIR;ITGA7;NRGN;GUCY1B1;PPP1R14A;NEXN;PRKG1;TTLL7;WTIP;IRAG1;CCDC3;LMOD1;MAP1B;RERG;SLC25A4;ISYNA1;NFASC;ECRG4;WFDC1;HCFC1R1;TBX2;EDNRA;TGFB1I1;AXL;HEYL;NT5DC2;PDLIM7;MT1M;GUCY1A1;CKB;SORT1;PDGFA	CL:0000669	pericyte	CL:0000359 vascular associated smooth muscle cell | CL:0000192 smooth muscle cell | CL:0000057 fibroblast | CL:0000738 leukocyte | CL:0000842 mononuclear leukocyte			
Smooth muscle cell	732	PCP4;RBFOX3;ACTC1;PRUNE2;PSD;RAB23;AARD;FBXL22;PYGB;NADK2;IMPA2;CARMN;DES;SLC2A8;ALDH1B1;DTNA;FILIP1;GYG1;FBXO32;CHRM3;NT5DC3;PCDH7;TNNT2;FLNC;P2RX1;RANBP3L;HSPB8;PTGS1;BAG2;COL4A5;COL4A6;STON1;TCEAL1;NIPSNAP2;SORBS1;LMO3;ASB5;SLMAP;HSD17B6;C8orf88;NCS1;SLC25A23;DMD;TSPAN2;TXNRD1;MYOCD;SLC8A1;METAP1;ADARB1;KLHL42	CL:0000192	smooth muscle cell	CL:0000192 smooth muscle cell | CL:0000071 blood vessel endothelial cell | CL:1000413 endothelial cell of artery | CL:0002139 endothelial cell of vascular tree | CL:0000359 vascular associated smooth muscle cell			
NK cell	507	GBP5;CASP8;GPRIN3;SH2D1A;H1-3;IKZF3;APOBEC3G;H1-4;ITGA4;AKNA;PIP4K2A;CTLA4;SFXN1;S1PR4;SELPLG;ADGRE5;RASA2;SH2D2A;ZAP70;BIN2;SKAP1;HELB;ARHGAP30;RAB27A;CLEC2D;RASGRP1;IKZF1;ARHGAP9;OTULIN;STK17A;LYAR;GNG2;TRAF3IP3;IPCEF1;PDE4D;LCK;PTPN7;CYFIP2;LMNB1;PYHIN1;APOL6;LIMD2;CACYBP;EVL;PIK3R1;PRKACB;CYLD;OXNAD1;EMB;PTPN22	CL:0000623	natural killer cell	CL:0000084 T cell | CL:0000542 lymphocyte | CL:0000842 mononuclear leukocyte | CL:0000738 leukocyte | CL:0000451 dendritic cell			
