# Brain -- 13 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Excitatory neuron	99732	LINGO1;CRACDL;SLC17A7;SV2B;NRGN;NECAB1;RORB;PTK2B;PHYHIP;SATB2;NPTX1;MLIP;NUAK1;TESPA1;PLPP6;SH3GL2;KIF5A;ARAP2;NDFIP2;PIK3R1;LIN7A;LY86-AS1;NEFL;NIPAL2;SNCA;RGS4;ZNF365;GKN1;ELL2;CBLN2;DLGAP1-AS4;MAST3;HTR2A;LMO4;POU6F2;SH3BP5;SYT7;CREG2;DIRAS2;PART1;NGEF;MAL2;FEZ2;GRM3;TYRO3;RAPGEF5;KCNMB4;ADD2;CAMK2A;MFSD4A	CL:0000679	glutamatergic neuron			
Inhibitory neuron	29744	SH3BP5;INA;ACO2;BRINP2;KIF5A;ZNF462;MAFB;VGLL4;MAX;MKRN1;TSPYL4;SPATS2L;SLC35E3;ADD2;NCDN;RPAP2;GABARAPL1;THRA;DTX3;MAT2A;WLS;DLX2;FAM217B;IRS2;STARD4-AS1;PDZRN4;DLX5;DNAJC7;TMEM245;KLHL28;MIR181A1HG;SGTB;LRRTM3;CNRIP1;RETREG2;NAP1L3;ARMCX3;FAM110B;RNF146;CD27-AS1;MXI1;SDHC;CEP68;MAP7D1;TOX;PNPLA8;STX12;KRR1;PSMD12;CHCHD10	CL:0000617	GABAergic neuron			
Oligodendrocyte	21753	PLP1;MOBP;CLDN11;PRG2;TMEM144;ERMN;CNDP1;ENPP2;CARNS1;PIP4K2A;SELENOP;ERCC2;PTGDS;CRYAB;CNTN2;MYRF;UGT8;LINC00844;OPALIN;PPP1R14A;ABCA8;PLAAT3;GPRC5B;ABCA2;ST18;PLEKHH1;MOG;GPR37;MIR219A2;LPAR1;CERCAM;CSRP1;CDK18;DAAM2;F3;HSPA2;GRM3;CLMN;DOCK5;TTYH2;LINC01608;KLK6;C10orf90;SLC44A1;PLLP;ARAP2;RNF220;LAMP2;EFHD1;TUBB4A	CL:0000128	oligodendrocyte			
Astrocyte	18789	AQP4;GJA1;ATP1A2;MT3;FGFR3;MGST1;GRAMD2B;GFAP;AGXT;PTGDS;GPR37L1;COL5A3;GPRC5B;SFXN5;SLC1A2;SLC7A11;RANBP3L;AHCYL1;OBI1-AS1;PCDHGB4;HEPACAM;SLC1A3;TRPS1;GLUD1;SLC25A18;NDRG2;ACSS1;TPD52L1;ITPKB;ALDH1A1;METTL7A;TSC22D4;APOE;RFX4;MT1E;GRM3;SPARCL1;LRP4;LINC00499;SLC14A1;LIFR;KCNJ10;PREX2;S100B;PAQR8;NEAT1;ARHGEF26;EFEMP1;ADGRV1;SDC4	CL:0000127	astrocyte			
Microglia	8322	CD53;C1QC;RGS10;C1QB;GPR34;CX3CR1;LY86;FCGR1A;SAMSN1;C3;FCGR3A;VSIG4;LAPTM5;ALOX5AP;TREM2;P2RY12;CSF2RA;AIF1;CD74;ADORA3;FOLR2;OLR1;ITGB2;TYROBP;CD37;PLD4;ARPC1B;CYBA;RGS1;FYB1;C1QA;APBB1IP;FCGR1B;BHLHE41;LST1;P2RY13;ARHGDIB;PTPRC;FPR1;CSF1R;MS4A4A;CYBB;CSF3R;HAVCR2;LILRB4;SLCO2B1;CTSS;IFI16;IRF8;CD68	CL:0000129	microglial cell			
Neuron	5558	RPS17;CRABP1;SOAT2;POU3F3;TMSB4XP4;HNRNPA1P48;MIR1244-2;S100A9;GNG3;SVBP;MRPS18C;SNRPGP10;FADS2;H3P6;PSMB7;TBR1;RNF5;STMN4;SCHIP1;GAS5;RBIS;BUD31;PTMAP2;RGS2;COX20;SCNM1;SUPT4H1;MOB4;MRPS36;CDC42;SMIM18;AP1S1;ID2;ERH;ANAPC15;SDHC;NBDY;NSG1;NRN1;LHX5-AS1;C3orf14;SNHG6;ABRACL;AMZ2P1;GNG2;EIF3M;GLRX;SNRPEP4;CCNG2;SS18L2	CL:0000540	neuron			
Oligodendrocyte precursor cell	5040	SOX6;BRINP3;PDGFRA;LINC00511;PCDH15;APOD;KCNMB2-AS1;COL20A1;PLEKHH2;COL9A1;BCAS1;S100B;OLIG1;EPN2;MAML2;RAB31;PCDHGB4;BCHE;PLLP;ZNF462;KAT2B;SEMA5A;DGKG;PRRX1;LRRK2;PDZRN4;COL11A1;ZCCHC24;IPO9-AS1;LSAMP-AS1;PCDH9-AS2;CALCRL;KIF13A;DISC1;SMOC1;ARHGAP31;PMP2;FERMT1;SCRG1;CSPG5;NKX2-2;STK32A;RFTN2;GPR17;OLIG2;ATP13A4;LUZP2;NTNG2;LRRTM3;LRP4	CL:0002453	oligodendrocyte precursor cell			
Granule cell	2549	RIT2;FAT2;PDE1A;CHN2;LHFPL6;CADPS2;GRM4;PCBP3;KCNK1;CBLN1;SH3GL2;ETV1;CA10;CDH22;RASGEF1C;DGKG;CAMKK2;IL16;CCDC175;CBLN3;MAML3;DGCR5;MEIS1;COL27A1;MICAL2;NHSL2;RALYL;SLC17A7;RAB37;MAML2;LIN7A;NDST3;DLEU2;CHGB;MSR1;ARHGAP29;CATSPER2;PTCHD1;GRIN2C;GKN1;PRPF38B;EBF1;GABRA6;MCTP1;PELI2;AKAP12;FGFR1;NPTX1;PPFIA4;EPHB1	CL:0000120	granule cell			
Endothelial cell	2334	BGN;NEAT1;VAMP5;COL4A1;ARHGAP29;PDGFRB;EGFL7;NDUFA4L2;COL6A2;HIGD1B;ARHGAP15;A2M;ESAM;GGT5;PLAC9;FRZB;DCN;ENG;CAVIN3;FN1;HLA-C;HLA-B;IGFBP7;COL4A2;ID3;GNG11;COBLL1;ITIH5;ISG15;FKBP5;COL1A2;RHOB;ANXA1;COL18A1;ST6GAL1;SERPINH1;PCOLCE;GSN;C1orf54;ITGA1;COLEC12;CD99;JUNB;TMEM204;CFH;COL3A1;LPAR6;LRMDA;SLC6A12;GPER1	CL:0000115	endothelial cell			
PV inhibitory neuron	2138	CPLX1;SATB1-AS1;ADAMTS17;ANKRD34C-AS1;GABRD;MB;MIR181A1HG;KLHL5;SLC26A4;CNTNAP3;LHX6;RUNX2;PLCXD3;KCNAB3;FBLN7;CRTAC1;ADCY1;MYO5B;GRIK3;NEFH;INPP5J;LRRTM3;RASGRF2;CEMIP;MICAL2;OSBPL3;ETV6;TAC1;ANKRD18A;RSPO2;SFXN5;KCNS3;LRP8;RAPGEF5;OPRD1;CRHBP;MYO16;BRINP2;SCN1B;ADAMTS9-AS2;HUNK;MPPED1;GAS2;SFMBT2;GRIA3;PTPN13;NXPH1;POSTN;CACNA2D2;DNAJC21					
