# Bronchi -- 21 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Basal cell	27142	LGALS7B;MIR205HG;SOX2;HNRNPA1P48;RHOV;HSPA1B;DLK2;CKMT1B;ADH7;EFEMP1;KLK11;DAPL1;LY6D;SNHG25;PIK3R1;TP63;CH25H;CKMT1A;SULT2B1;HSPA2;CBWD1;DHRS4L2;LRATD1;DDIT4;LRIG3;SIX1;ARL4D;BCL11A;VAV3;DDIT3;PDIA4;C16orf74;BACE2;GPX2;ZNF703;STAP2;ANOS1;MMP14;CTNNBIP1;SLC15A2;DDB2;ISOC2;CLPTM1;EPS8L2;MUC20-OT1;SRGAP3;HSP90B2P;CENPX;TXNDC12;GANAB	CL:0000646	basal cell			
Secretory cell	22779	CEACAM6;MUC5B;CP;FAM3D;MUC5AC;MSMB;TSPAN8;CRACR2B;LYPD2;RARRES1;VMO1;VSIG2;KLK11;CXCL6;PSCA;CYP2F1;SAA1;PI3;SOX2;CCNO;TCEA3;RHOV;FCGBP;BACE2;SLC4A4;CYP2J2;S100P;AGR2;LY6D;SPINT1-AS1;ZG16B;MSLN;INSR;LYPD6B;SLC15A2;BICDL2;SAA2;GDF15;ELAPOR1;HSPA1B;ADH1C;CRYM;GATD3A;LCN2;CREB3L1;STARD10;NIBAN1;REEP3;ANKRD36C;ERN2	CL:0000151	secretory cell			
Ciliated cell	19195	RSPH1;SNTN;C20orf85;FAM183A;LRRIQ1;C5orf49;DNAAF1;C1orf194;HOATZ;PIFO;DYNLRB2;CAPSL;CCDC170;C9orf116;DNAH12;C9orf24;LDLRAD1;TSPAN19;CFAP43;DNAH5;CFAP53;CIBAR2;CCDC146;MORN5;ERICH3;TMEM190;SAXO2;SPAG17;ROPN1L;CCDC17;CDHR3;ZMYND10;CCDC78;ENKUR;FAM216B;LRRC46;EFCAB1;C9orf135;SPAG6;FAM81B;CFAP45;C11orf97;OMG;ODF3B;RSPH4A;TEKT1;ZBBX;ARMC3;FHAD1;CFAP157	CL:0000064	ciliated cell			
Macrophage	16138	RBP4;TREM2;CCL18;HSD17B11;OPN3;KYNU;IFI30;FCGR1A;LPXN;CD86;MFSD1;ANPEP;FPR1;CISD3;PCOLCE2;LY96;SCGB1D1;LACTB;HACD4;UBE2D1;FAM174C;SPG21;RASGEF1B;UBE2E2;TMEM251;GBP2;PSMB10;CREG1;MRPL53;KMO;IFI35;CCRL2;MCOLN1;IL1B;GABARAP;LILRB3;NDUFA7;VMO1;CD83;TOMM5;RENBP;SMIM30;APIP;TRAPPC5;MS4A6A;BCL2A1;TXNDC12;GPR137B;AMIGO2;CTSA	CL:0000235	macrophage			
Myofibroblast	9369	NR2F1;CDH11;COL5A2;CLEC11A;CCDC80;COL5A1;COL21A1;PLEKHH2;MMP23B;QPRT;VCAN;PTK7;ZNF503;EPB41L2;MEOX2;CCBE1;S1PR2;MFAP2;RCN1;LOXL1;CHST2;GSTM3;EXTL2;PDLIM2;NDN;HOXB2;HOXB4;CAMK2N1;SNRPN;HOXB5;GPX7;FBXO17;PHGDH;GYG1;EFEMP2;PDGFRA;FKBP10;HIF3A;HSPB6;AKAP12;SELENOF;RAB34;SOSTDC1;KANK2;MDFI;PIEZO2;GLT8D1;BMP4;RUNX1T1;COL14A1	CL:0000186	myofibroblast cell			
Type II alveolar cell	9052	SFTA2;SFTPD;PEBP4;LAMP3;PGC;C16orf89;SLC22A31;SFTPB;SFTPA2;C4BPAP1;SFTPA1;CLDN18;ABCA3;LRRK2;SFTA3;ALPL;LPCAT1;PLA2G1B;FOLR1;LMO3;GKN2;SFTPC;RGS16;SUSD2;TMEM125;HHIP;FGGY;AQP4;ZNF385B;NRGN;CRTAC1;DRAM1;MALL;WIF1;HSD17B6;ALOX15B;MACROD2;VEPH1;MBIP;C5orf38;CSF3R;CACNA2D2;SFTA1P;RND1;RASGRF1;RHOBTB2;STEAP4;SLC39A8;CPM;TMPRSS2	CL:0002063	pulmonary alveolar type 2 cell			
Type I alveolar cell	7466	VEGFD;WNT2;PPP1R3C;ABCA8;G0S2;LRRC17;GYG1;SNRPN;MEOX2;SMPDL3A;CA3;CDO1;PLEKHH2;CHST2;TCF21;RSPO2;MFAP2;SNAI2;PIEZO2;RGS2;FHOD1;GULP1;MMP23B;SELENOF;OLFML3;PTGER1;FGFR4;CXCL10;NDN;LOXL1;CSRP1;TDO2;GSTM3;GNAI1;POSTN;EXTL2;HACD3;C5orf15;PDLIM2;CDH11;SLC40A1;CAMK2N1;ARID4A;NEXN;TMEM98;OGN;COL21A1;BDH2;ZYX;VCAN	CL:0002062	pulmonary alveolar type 1 cell			
Vein endothelial cell	6365	CLEC3B;FAM107A;SLCO2A1;VIPR1;ZBTB16;HLA-DRB6;SLCO4A1;BTNL9;MT1M;FCN3;F2RL3;FKBP5;TMEM100;TMEM204;RAMP3;DEPP1;GBP4;S1PR1;PRDX6;ADRB1;GALNT18;LRRC32;IRF9;S100A3;SLC6A4;FLT1;GPIHBP1;BMPR2;PSMA6;RASIP1;STXBP6;NOSTRIN;SERPINE1;PPFIBP1;MT1L;GSDMD;GPR146;SH2D3C;TSPAN12;STARD3;PDK4;HLA-F;CX3CL1;CEMIP2;LINC00472;PAPSS2;KLF7;TNFRSF1A;FRY;ANXA3	CL:0002543	vein endothelial cell			
Alveolar fibroblast	3888	CRISPLD1;GDF10;OGN;FMOD;HAPLN1;PLAGL1;COL16A1;COL9A2;CALU;FKBP10;BMP5;GLT8D2;MDFI;FGFR1;COL9A1;MEIS1;CPXM1;KCNQ1OT1;COL11A1;PYCR1;GOLIM4;FKBP7;CTSK;IL11RA;MFAP2;GPX7;PHGDH;SLC40A1;MMP14;HOXA3;SNAI2;BICC1;COL14A1;EXTL2;FBXO17;COL2A1;LOXL1;RCN3;COL9A3;COL27A1;MATN4;P3H1;RAB34;RCN2;PTK7;TMEM45A;ZNF503;P3H4;NDN;CCDC80	CL:0002553	fibroblast of lung			
Goblet cell	2745	TCN1;RNR2;ANXA2P3;H3P6;ANXA2P1;FTH1P3;PPIAL4G;HNRNPA1P10;P2RX5-TAX1BP3;RPL36A-HNRNPH2;RNF103-CHMP3;SENP3-EIF4A1;SEMA3E;TMX2-CTNND1;BCL2L2-PABPN1;L2HGDH;H3-5;CYP2B7P;RRP7BP;CFB;HMGN2P46;SLC16A7;SEPTIN2;EIF3CL;PIP;ANXA2P2;RNASEK;POTEF;DNAJC25-GNG10;NDRG2;MICOS10-NBL1;GNG10;NR4A2;UQCRBP1;FUT6;BTF3P11;NBPF12;EIF3C;LEPR;TGIF2-RAB5IF;RBM14-RBM4;CYP2F1;CDK2AP1;NACA2;NME1-NME2;ZNF773;KDM4A-AS1;LPAL2;ZMAT3;KRBA2	CL:0000160	goblet cell			
