# Eye -- 13 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Keratocyte	46330	DKK2;FMOD;COL6A3;THBS2;TWIST1;OLFML3;OGN;TWIST2;COL12A1;GLT8D2;COL11A1;KERA;RCN3;PCOLCE;MFAP2;AEBP1;ECRG4;EMILIN1;THBS1;COL5A1;COL14A1;COL5A2;PRRX1;COL6A1;PITX2;MEST;CRABP2;FNDC1;CLEC11A;PYCR1;TMEM45A;FBLN5;CREB3L1;CPXM1;FKBP10;PDGFD;CTSK;MRC2;C1QTNF7;COCH;CPED1;PLOD1;COPZ2;MMP2;PDGFRL;LOX;COLEC12;GPX8;SRPX;EFEMP2	CL:0002363	keratocyte	CL:0002363 keratocyte | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:1000413 endothelial cell of artery | CL:0000669 pericyte			
Rod	28363	CNGA1;PDE6A;GNAT1;GNGT1;NRL;NR2E3;RHO;PDE6G;REEP6;SLC24A1;CLUL1;DDC;TTC39C;OSBP2;KCNJ14;GNB1;PDE6B;SAMD11;MFGE8;SCAPER;FAM161A;RNF7;LENG8;ZMYND19;DAXX;MYO9A;RDH12;SPINK4;PPEF2;MOK;DRAIC;PRPH2;PDE4DIP;ELOVL4;TMEM237;ROM1;WAPL;DEFB119;RDH8;PLA2G4C;TFPI2;SORBS2;CNGB1;TMEM138;ADD1;NTM;DNAAF4;KCNB1;EPB41L2;RP1	CL:0000604	retinal rod cell	CL:0000604 retinal rod cell | CL:0000287 eye photoreceptor cell | CL:0000210 photoreceptor cell | CL:0000540 neuron | CL:0002319 neural cell			
Epithelial cell	26903	TRIM29;C19orf33;S100A11P1;ELF3;ERICH5;ALDH1A1;LYPD3;DSC2;CLDN4;RAB25;TACSTD2;FAM83A;SPINT1;AGR2;SERPINB5;UPK1B;DSC3;SDC1;SPINT2;MAL2;SYT8;DSP;DSG1;PHLDA2;PERP;MUC15;IRF6;PHLDA3;KRT19;GJB2;CLDN7;SDC4;EZR;CXADR;CTSV;ALDH3A1;KRT18;NQO1;CLDN1;KRT5;APOBEC3A;SYTL1;PRRG4;RHOV;MPZL2;AQP3;WEE1;TMPRSS4;KRT15;FZR1	CL:0000066	epithelial cell	CL:0000575 corneal epithelial cell | CL:1000432 conjunctival epithelial cell | CL:0000646 basal cell | CL:0009010 transit amplifying cell | CL:0000160 goblet cell			
Muller cell	19128	RGR;RLBP1;CRABP1;SLN;DIO2;DKK3;GPR37;PGM2;SLITRK2;SNX10;QDPR;PCSK2;CA2;CP;TRDN;HKDC1;CLRN1;EPHB6;SPOCK1;GATB;TRPM3;LINC00461;RDH11;CLGN;ADD3;RARRES2;FRZB;TTYH1;PRSS35;LINC00844;ESPN;TMEM37;ABHD12B;MYO10;IGFBP5;PEBP4;AMD1;CNTN1;AKAP12;NPVF;MCFD2;SLC15A4;MSANTD4;FGF9;NUDT4;GABRG3;TM7SF2;SLC16A1;PRKRA;COBL	CL:0000636	Mueller cell	CL:0000636 Mueller cell | CL:0000681 radial glial cell | CL:0002586 retinal pigment epithelial cell | CL:0000125 glial cell | CL:0000034 stem cell			
Bipolar cell	11653	PCP2;LPGAT1;PRKCA;SERPINI1;CCDC136;CABP5;TMEM196;ISL1;CA10;NIF3L1;MLLT6;VSX2;CHN2;EFR3A;OSBPL9;SLC1A7;UBL3;KCNH2;SEMA3E;NTNG2;AANAT;LIN7A;TJP2;SLC17A7;EDIL3;FGF12;GCC2;ABCA5;GUCY1A1;IMPDH1;PLCD4;CAMK2D;SAMD5;GABRA1;APC;RUNX1T1;HHATL;ASIC4;NETO1;KMT2E;PPARGC1B;RAB3IP;MACF1;USP21;OGA;KHDRBS3;DOK6;RSBN1L;RIC3;B4GALT6			CL:0000751 rod bipolar cell | CL:4033085 diffuse bipolar 5 cell | CL:4033095 diffuse bipolar 4a cell | CL:4033031 diffuse bipolar 4 cell | CL:4033096 diffuse bipolar 4b cell			
Retinal ganglion cell	9957	NEFH;NEFM;KCNC2;PRPH;PRUNE2;CPLX1;SLC17A6;KIF5A;INA;ATP13A2;AHNAK2;L1CAM;MIAT;NRN1;MYO5A;LSS;ELAVL2;SV2C;CLEC2L;SCG5;SYT2;LYNX1;SYT4;GOT1;FABP3;SCN1B;DHCR24;SOAT2;GPRIN1;SPOCK2;ILRUN;CDS2;KIFAP3;EPB41L1;OLFM1;SLC6A17;UCHL1;ELAVL3;CHGB;RAB6B;CTIF;VSNL1;YWHAH;PFKP;ATP6V0A1;RTN3;VWC2;DYNC1H1;KLC1;PWAR6	CL:0000740	retinal ganglion cell	CL:4033046 ON midget ganglion cell | CL:4033047 OFF midget ganglion cell | CL:4023188 midget ganglion cell of retina | CL:0000740 retinal ganglion cell | CL:4033051 OFF parasol ganglion cell			
OFF-BC	5299	TTN;GRIK1;SLC1A2;TRAPPC8;PSD3;REPS2;C3orf70;SLC8A1;SLITRK6;NEUROD4;SCG2;GRIA2;MAPRE2;NRXN3;DIRAS2;EPB41;CAMK4;CADM3;GUCY1B1;GABRG2;KLHL23;CCNG2;THSD7A;LRRC49;FAM171B;HHIP;WFDC1;SNCB;PPP1CC;MAP7;NETO1;SNHG6;SMCHD1;CCDC141;DMD;PEA15;FEZF2;NSG1;GABRA1;RERE;TRMT9B;OXR1;EPB41L3;PPM1K;KCNK3;PDE1C;PPFIA2;BHLHE22;PRKCB;MBD1			CL:4033033 flat midget bipolar cell | CL:4033028 diffuse bipolar 2 cell | CL:0000750 OFF-bipolar cell | CL:4033030 diffuse bipolar 3b cell | CL:4033027 diffuse bipolar 1 cell			
ON-BC	3113	PCP4L1;VSX1;CABP2;MPP2;SLC24A4;CCDC88A;BCAT1;SHTN1;MCC;TMEM176B;ODF2L;OTX2;TRNP1;GNG13;NCKAP5;SRGAP3;NAPSB;ARHGEF9;BTBD8;USP46;DNER;KCNMA1;SLC23A1;PER3;TTLL7;RELN;IGF1;SCN1A;ATP2B1;DGKE;KCNG4;DPY19L2;CRYBG3;CREBZF;SYNE1;CLSTN3;PPP1R3E;PRDM8;SLC4A10;KCNAB1;RSBN1L;ZFYVE16;KHDRBS3;RAB3IP;SAMSN1;GNAO1;PWWP2A;RASD1;GNB5;HOOK1			CL:4033034 invaginating midget bipolar cell | CL:0000752 cone retinal bipolar cell | CL:0000749 ON-bipolar cell | CL:4033019 ON-blue cone bipolar cell | CL:4033035 giant bipolar cell			
Cone	2046	PDE6H;ARR3;GUCA1C;GNGT2;MYL4;TDRG1;CC2D2A;CNGB3;OPN1LW;PLAAT1;SMIM29;PEX5L;ANKRD33B;RABL3;DZIP3;CHRNA3;MEGF9;FSD1L;THRB;GNAT2;DCAF1;MAP6;CDHR1;TAFA3;GRK7;PLA2G5;RSC1A1;UBAP1L;KCNB2;DDX10;TTR;PROM1;KIF2A;GUCA1B;H2AW;CPLX4;IMPG2;ADGRV1;TLCD3B;ARMC9;SMTN;DPYSL3;TAPT1;ADCY1;NPTX1;OAZ2;VOPP1;SLC6A6;C16orf74;PDE6C	CL:0000573	retinal cone cell	CL:0000573 retinal cone cell | CL:0003050 S cone cell | CL:0000287 eye photoreceptor cell | CL:0000210 photoreceptor cell | CL:0000540 neuron			
Vascular endothelial cell	1702	PLVAP;PECAM1;ECSCR;RAMP2;EGFL7;IGFBP4;COL15A1;MMRN1;SOX18;CLEC14A;TFPI;HSPG2;CALCRL;CDH5;ENG;ELK3;PCAT19;VWF;HYAL2;CLDN5;ADGRL4;TGFBR2;GIMAP7;ITGA6;ITGA5;TIE1;COL4A1;DIPK2B;LMO2;VAMP5;PRCP;GIMAP1;MYCT1;ADAM15;SOCS3;EMCN;COL4A2;GASK1B;CD93;CCL14;PALMD;RAMP3;CAVIN2;ARL4A;TM4SF1;LIFR;SH3BP5;PLXND1;BCAT2;SHC1	CL:0002139	endothelial cell of vascular tree	CL:0000666 fenestrated endothelial cell | CL:1000413 endothelial cell of artery | CL:0002585 retinal blood vessel endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0002144 capillary endothelial cell			
Amacrine cell	1546	CPLX3;MIR124-2HG;LINC00632;PODXL2;NRXN1;SV2A;PCBP3;TMEM59L;GPR162;ULK3;USP11;ARL4C;PCLO;SRRM4;TRIM44;ATP6V0E2;CHN1;RAB3A;MLLT11;KIAA1107;KIF5C;CRY2;TTC19;ATP6V1G2;PRKCB;GNG3;RNF187;ATCAY;WBP2;MIR570HG;CEND1;NRXN2;PPP2R1A;CELF5;RPP25;SH3GL2;KLC1;DNAJB2;NOVA1;GAD1;CACYBP;KCNC1;BIN1;KMT2E;SEZ6L2;CNRIP1;PPM1K;NCOR1;SIX3;JPH4	CL:0000561	amacrine cell	CL:0000751 rod bipolar cell | CL:0000561 amacrine cell | CL:4030028 glycinergic amacrine cell | CL:4030027 GABAergic amacrine cell | CL:0004232 starburst amacrine cell			
Horizontal cell	1541	ONECUT2;CNTNAP2;ONECUT1;TNR;ONECUT3;CMYA5;NAT16;LHX1;B3GAT2;SLC4A3;KCNJ2;C1QL1;VAT1L;SHISA8;RASSF8;FRMPD4;TBC1D16;GRIA3;GRIA4;PPP1R1A;CACNG3;NRIP3;RHOBTB1;KCNJ6;PPP2R5E;CMSS1;MIR181A2HG;ZEB2;LPL;GFRA2;KCNK1;CDK14;PLEKHD1;PEG3;HK1;NRSN1;ADCY2;SLC12A7;KLF13;DLG5;FMN2;SMPD3;NDRG4;CXXC5;GAS6;ZNF385D;DTX1;PTPN4;LZTS1;SESTD1	CL:0000745	retina horizontal cell	CL:0004217 H1 horizontal cell | CL:0004218 H2 horizontal cell | CL:0000745 retina horizontal cell | CL:4033095 diffuse bipolar 4a cell | CL:0002453 oligodendrocyte precursor cell			
Pericyte	631	RGS5;HIGD1B;PPP1R14A;COX4I2;ADAMTS1;GJA4;KCNE4;IER5L;SERTAD1;ANKRD37;HSPH1;EPS8;ITIH5;RRAS;BAG3;CREM;APOLD1;C11orf96;MGLL;ISG15;ADAMTS4;HEXIM1;NOTCH3;MYADM;EFHD1;ZNF331;PPP1R10;C1QTNF1;DNAJA4;TESC;TNS1;CDK2AP2;CYSTM1;CRISPLD2;CEBPD;RNF152;TAGLN;GPER1;FILIP1L;DNAJB4;KLF9;NR4A2;IFRD1;INTS6;NDUFA4L2;SYNM;MYL9;ZFAND2A;PKIG;GAS5	CL:0000669	pericyte	CL:0000669 pericyte | CL:4033054 perivascular cell | CL:0000359 vascular associated smooth muscle cell | CL:0019018 blood vessel smooth muscle cell | CL:1000413 endothelial cell of artery			
