# Intestine -- 20 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Mesenchymal cell	157107	MFAP2;FOXF1;MEST;TSHZ2;SNAI2;COL6A1;LTBP4;EMILIN1;TCF21;CDH11;GPC3;RAB34;MAB21L2;OLFML3;COL5A1;COL5A2;COL6A2;EFEMP2;PMP22;MFAP4;FHL1;PCDH18;COL6A3;FKBP10;COL1A1;SDC2;EMP3;MDFI;FSTL1;CLEC11A;MMP2;VCAN;NID1;SEPTIN11;MEIS2;TGFB1I1;TMEM98;PTN;PLD3;PCOLCE;FBLN1;PBX1;PDLIM7;CALD1;CALU;RHOBTB3;IGFBP5;PLAT;NFIA;CNN2	CL:0008019	mesenchymal cell	CL:0002088 interstitial cell of Cajal | CL:0000499 stromal cell | CL:0000222 mesodermal cell | CL:0000192 smooth muscle cell | CL:0000183 contractile cell			
Epithelial cell	137960	S100A14;AMN;CES2;CDH1;TMEM141;FXYD3;LGALS2;FAM162A;MYH14;CDX1;RAB25;ETHE1;LIMA1;SUCLG2;SLC26A2;SI;DSC2;RBP2;MTTP;ANXA4;CDX2;C15orf48;CYCS;AGR3;DSG2;SFN;TM9SF3;LAD1;TXNDC17;STARD10;HSBP1L1;RBM47;DDT;MGST1;KRTCAP3;MAOA;HMGCS2;CD164;PRSS3;ATP5MC1;CPS1;ECHS1;CAST;FAM177A1;EBP;NANS;SH3YL1;PTP4A1;PLEKHJ1;TSTD1	CL:0002563	intestinal epithelial cell	CL:0000584 enterocyte | CL:0000677 gut absorptive cell | CL:0000064 ciliated cell | CL:0002563 intestinal epithelial cell | CL:0002076 endo-epithelial cell			
T cell	34603	CD3E;CD7;CD3D;IL7R;CD2;LCK;TRBC1;CD247;TRBC2;EVL;CD3G;SPOCK2;CD96;TRAC;CYTIP;PIK3IP1;KLRB1;CCL5;LEPROTL1;TNFAIP3;SKAP1;CD44;CAMK4;DUSP2;ACAP1;CD69;STK17A;DENND2D;FYN;ZAP70;STK17B;TCF7;NKG7;OXNAD1;ARHGEF1;SCML4;SEPTIN6;SEPTIN1;IFITM1;FYB1;TRAF3IP3;LAT;PPP1R2;CLEC2D;ZC3HAV1;GZMM;PTPRC;TSPYL2;CD48;S100A4	CL:0000084	T cell	CL:0000798 gamma-delta T cell | CL:0000899 T-helper 17 cell | CL:0000897 CD4-positive, alpha-beta memory T cell | CL:4033069 cycling T cell | CL:0000815 regulatory T cell			
Enterocyte	23167	GSTA1;TSPO;GATD3A;ID2;ATP5PO;SNHG5;NDUFB1;ANXA13;BTN3A3;RN7SK;S100A11P1;NT5C3A;CCL25;LGALS13;AADAC;TXNDC17;NDUFA1;ROMO1;DECR1;SUCLG1;CTSA;NDUFA3;CA1;TTR;SLIRP;CA2;ALDOA;COX7B;TMEM256;PSME2;MGST3;NDUFB3;SNHG8;AGR3;IFI27;TMEM59;SLC26A3;HSD17B11;ANXA4;MRPL41;AFP;SNHG6;SDHD;GSTA2;NDUFB6;ATP5PF;ATP5MD;GLRX;UQCR11;ASS1	CL:0000584	enterocyte	CL:0000584 enterocyte | CL:0000064 ciliated cell | CL:0000510 paneth cell | CL:0000677 gut absorptive cell | CL:0000075 columnar/cuboidal epithelial cell			
Plasma B cell	20777	IGHA2;IGKV3-20;MZB1;IGKV4-1;DERL3;IGHA1;IGKV1-5;IGKV3-11;JCHAIN;TNFRSF17;FKBP11;IGLV3-1;IGKV3-15;IGLV2-14;LINC02362;IGHV3-23;UBE2J1;IGLV2-8;ANKRD28;IGLV3-21;IGKC;IGHV3-30;CREB3L2;IGHV4-39;PRDM1;HERPUD1;IGLV1-40;IGHV3-74;IGLC2;ELL2;IGLV2-11;IGHV3-7;IGKV1-9;IGLV2-23;XBP1;TXNDC5;PIM2;DNAJB9;IGHV4-59;SSR3;SPCS3;PLPP5;CRELD2;SLAMF7;SDF2L1;SEL1L3;FCRL5;SPAG4;HM13;BIRC3	CL:0000786	plasma cell	CL:0000985 IgG plasma cell | CL:0000987 IgA plasma cell | CL:0000786 plasma cell | CL:0000946 antibody secreting cell | CL:0000945 lymphocyte of B lineage			
B cell	19711	VPREB3;CD79B;MS4A1;IGHM;TCL1A;CD19;CD22;BANK1;TNFRSF13C;SMIM14;CD79A;POU2F2;TMEM243;RCSD1;BLK;FCRLA;CD72;LTB;NCF1;ARHGAP24;LINC00926;LIMD2;CD83;ORAI2;BCL11A;BLNK;NIBAN3;P2RX5;IRF8;CD37;BCAS4;MBD4;PLEKHF2;RPL22L1;CXCR4;GGA2;SP100;ERP29;IGLC3;SELENOT;SP110;TCEA1;GTF3A;ISG20;HLA-DQA1;ACTR3;CD53;ANAPC16;DRAM2;DCK	CL:0000236	B cell	CL:0000844 germinal center B cell | CL:0000236 B cell | CL:0000788 naive B cell | CL:0000785 mature B cell | CL:0000145 professional antigen presenting cell			
Neuron	18356	ASCL1;PLP1;TUBB2B;HAND2-AS1;LINC00682;PHOX2B;CADM1;MAB21L1;CRABP1;UCHL1;TBX3;AP1S2;HOXB5;ELAVL4;GPM6B;S100B;HAND2;EDNRB;METRN;PCBP4;NNAT;PTPRZ1;KIF21A;NELL2;DLX2;NRXN1;NKAIN4;CHD7;LGI4;BEX1;MLLT11;CDH19;DLX1;GFRA1;MPZ;TTYH1;CHRNA3;CNP;MOXD1;FXYD1;CDH2;CRMP1;BEX2;SOX2;SCCPDH;MAP1B;RTN3;FOXD3-AS1;HOXB4;SYT1	CL:0000540	neuron	CL:4040002 enteroglial cell | CL:0000540 neuron | CL:0002573 Schwann cell | CL:0002319 neural cell | CL:0000125 glial cell			
Endothelial cell	15657	CLDN5;PECAM1;EGFL7;TIE1;CLEC14A;HSPG2;PLVAP;ARHGAP29;VWF;ESAM;MYCT1;SOX18;CALCRL;CAVIN2;ENG;MMRN2;ICAM2;CDH5;CAVIN1;HYAL2;CD34;TMEM88;PTPRB;EMCN;TGFBR2;RAMP2;BCAM;PLXND1;STOM;CAV2;FLT1;EPAS1;A2M;ELK3;PRCP;VAMP5;IGFBP4;MADCAM1;KANK3;S1PR1;ADAM15;CD93;EMP1;ERG;ITGA5;PRSS23;PODXL;ADGRL4;ACVRL1;CYYR1	CL:0000115	endothelial cell	CL:0000115 endothelial cell | CL:0002144 capillary endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0002543 vein endothelial cell | CL:0002139 endothelial cell of vascular tree			
Myeloid cell	10659	CSF1R;SPI1;RNASET2;CD68;MAFB;SAMHD1;NAIP;CLEC7A;JAML;TYMP;TBXAS1;ASAH1;RNASE6;CYBB;CXCL16;CEBPD;ITGB2;MFSD1;FGL2;CD300A;PLD4;C1QC;ADAP2;CD4;CNPY3;CTSC;MPEG1;CEBPB;STAB1;DNASE1L3;LGMN;CSF2RA;HLA-DRB5;CD14;IGSF6;IL10RA;TNFRSF1B;SLC40A1;PTPRE;RHOG;GRB2;ARRB2;TPP1;MRC1;MYO1F;CALHM6;CD86;AOAH;PYCARD;NINJ1	CL:0000763	myeloid cell	CL:4047053 TREM2-positive macrophage | CL:0000235 macrophage | CL:0000576 monocyte | CL:0011026 progenitor cell | CL:0000766 myeloid leukocyte			
Enterocyte progenitor	6899	SNHG5;TTR;CTSA;ATP5PO;SMLR1;NT5C3A;CYP21A2;DECR1;SNHG6;SUCLG1;NDUFB1;SNHG8;GSTA1;SLIRP;TXNDC17;NEU1;GSTA2;GLS2;TMEM256;ID2;SLC7A7;PTP4A1;GATD3A;GNS;CCNG1;TSPO;VPS29;PRDX3;TMEM45B;S100A11P1;NDUFB6;AIG1;NDRG1;ADD3;AADAC;BTN3A3;CIAO2A;TFEC;CD164;ROMO1;BDH2;NOP10;TDP2;HSD17B11;NAT8;NDUFA5;HADH;NDUFAB1;GLRX;RAB1A	CL:0000584	enterocyte	CL:0000064 ciliated cell | CL:0000584 enterocyte | CL:0000677 gut absorptive cell | CL:0000682 M cell of gut | CL:0000075 columnar/cuboidal epithelial cell			
