# Lymph_node -- 19 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
B cell	20603	MS4A2;BANK1;BLK;TNFRSF13C;LY9;ADAM28;FCRLA;LINC01781;CD19;CD22;AFF3;ARHGAP24;PLEKHF2;VPREB3;LINC00926;PAX5;CD24;FCRL1;BCL11A;FCER2;LINC02397;PARP15;AIM2;CXCR5;STAG3;PRDM2;HVCN1;BCAS4;SWAP70;NIBAN3;P2RX5;MGAT5;ANKRD13A;IRF8;IKZF3;TLR10;ITPR1;EBLN3P;P2RY10;RUBCNL;RCSD1;RBM38;TRAF5;BCL2;GGA2;SP110;SERTAD1;ATF7IP;MIR29B2CHG;CHD7	CL:0000236	B cell	CL:0000082 epithelial cell of lung | CL:0000787 memory B cell | CL:0000236 B cell | CL:0000034 stem cell | CL:0000945 lymphocyte of B lineage			
Naive CD4 T cell	17446	KPTN;CRNN;ZYG11AP1;ZYG11A;ZXDC;ZXDB;ZXDA;ZWINT;ZWILCH;ZW10;ZUP1;ZSWIM9;ZSWIM8-AS1;ZSWIM8;ZSWIM7;ZSWIM6;ZSWIM5P3;ZSWIM5P2;AADAC;AACSP1;AACS;AAAS;A4GNT;A4GALT;A3GALT2;A2MP1;A2ML1-AS2;A2ML1-AS1;A2ML1;A2M-AS1;A2M;A1CF;A1BG-AS1;ZYG11B;ABCA13;ABCA12;ABCA11P;ABCA10;ABCA1;ABAT;ABALON;AAVS1;AATK;AATF;AATBC;AASS;AASDHPPT;AASDH;AARSD1P1;AARSD1	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0001058 plasmacytoid dendritic cell, human | CL:0000031 neuroblast (sensu Vertebrata) | CL:0011115 precursor cell | CL:0002319 neural cell | CL:0000125 glial cell			
Memory B cell	12418	KPTN;BCAS4;LINC01781;AIM2;P2RX5;SHISA8;LINC02397;IFT57;BCL11A;TLR10;RIC3;CD22;TNFRSF13C;HVCN1;ITPR1;STAG3;ADAM28;BTLA;IKZF3;BLK;LYL1;ANKRD13A;MIR29B2CHG;P2RY10;OFD1;GGA2;SP110;PARP15;CD24;USP12P1;SP140L;ATF7IP;IDS;NT5C;ARHGAP24;FAM102A;FCRL1;EBLN3P;MGAT5;PRDM2;LINC00926;TRAF5;IL16;TFEB;BCL2;METTL8;HAGHL;PAX5;IGHA2;SCIMP	CL:0000787	memory B cell	CL:1001609 muscle fibroblast | CL:0000787 memory B cell | CL:0000785 mature B cell | CL:0000844 germinal center B cell | CL:0001064 malignant cell			
CD4 T cell	9394	CD6;MRTFA;CD40LG;CAMK4;DENND2D;TRAT1;CD5;OCIAD2;ICOS;LEF1;SKAP1;ARHGEF1;CD7;TBC1D10C;CD247;OXNAD1;PLAAT4;DGKA;NSMCE3;PDE7A;EML4;BCAS2;SCML4;ITM2A;SYNRG;PDE3B;TRAF3IP3;CD28;IL16;RBL2;PRKCH;ITK;TMC8;SIGIRR;SATB1;RASGRP2;EPB41;GIMAP2;RGCC;SESN3;ZAP70;TC2N;PTPRCAP;CYFIP2;SLC6A20;SNRPN;CD96;GATA3;MAX;PRKCA	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002038 T follicular helper cell | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000492 CD4-positive helper T cell | CL:0000625 CD8-positive, alpha-beta T cell | CL:0000934 CD4-positive, alpha-beta cytotoxic T cell			
Memory CD4 T cell	8551	KPTN;IL2RG;PCSK7;CNOT6L;CCSER2;OCIAD2;EMB;TBC1D10C;PBXIP1;ITM2A;RICTOR;IKZF3;NCK2;PTPN7;IDS;EML4;NSMCE3;SYNRG;TMC8;CEMIP2;SEMA4D;CCDC66;MTERF4;TLE4;SNRPN;BCL2;TSPYL1;DGKA;EPB41;ZNF831;TRAT1;CUTALP;CLEC2D;PEBP1P3;TC2N;MECP2;ATP6V0E2;SLFN5;THEM4;TRAF3IP3;SNHG3;CEBPZ;IPCEF1;P2RY10;SNHG1;SYNE2;RSBN1;CDC14A;GIMAP1;MCUB	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000625 CD8-positive, alpha-beta T cell | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell | CL:0002038 T follicular helper cell			
CD8 T cell	8431	CD8A;CCL5;CD8B;GZMK;GZMA;CCL4;CTSW;GZMM;RUNX3;NKG7;LYAR;SH2D1A;GNG2;PRKCH;PTPRCAP;PAXX;ZAP70;ARHGEF1;TBC1D10C;PLAAT4;CMC1;SERTAD1;PITPNC1;CD7;PTPN7;SKAP1;TC2N;DENND2D;RBL2;SYNRG;EML4;CD96;KLRD1;SIGIRR;TLE4;CD247;EMB;SCML4;LINC00861;STAT4;PTPN22;ARAP2;CRTAM;INTS6;HERPUD2;OCIAD2;IDS;PYHIN1;GPR171;HOPX	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000913 effector memory CD8-positive, alpha-beta T cell | CL:0001203 CD8-positive, alpha-beta memory T cell, CD45RO-positive | CL:0011025 exhausted T cell | CL:0001050 effector CD8-positive, alpha-beta T cell | CL:0000909 CD8-positive, alpha-beta memory T cell			
CD4 Treg	6080	KPTN;SIRPG;CRNN;LTA;PTPN7;IL16;SLC6A20;TNFRSF25;IKZF2;FLT3LG;TGFB1;CD5;OCIAD2;TOX;ZAP70;PTPRCAP;FOXP3;ITGB2-AS1;GNG2;DENND2D;LAIR2;SH2D2A;SKAP1;TIGIT;ICOS;DGKA;IL27RA;GATA3;PRKCH;TBC1D10C;SPNS1;CD7;TNFRSF4;IL2RA;MAPRE2;DEFA6;PDCD1;ISG15;ITM2A;CHRM3-AS2;CD247;IL2RB;ARHGEF1;RHOF;IL2RG;CTLA4;MLLT3;NFATC1;FBLN7;CD6	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000934 CD4-positive, alpha-beta cytotoxic T cell | CL:0011025 exhausted T cell | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0001074 CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human | CL:0000815 regulatory T cell			
T cell	5296	CTLA4;ITK;CD247;SKAP1;NSMCE3;IPCEF1;TBC1D10C;EPB41;TNFSF8;BCAS2;PDE3B;ARHGEF1;SYNRG;PRKCH;SESN3;NCK2;ZNF831;SNRPN;RASGRP2;ZAP70;PDE7A;EML4;TRAT1;PTPN7;OCIAD2;DGKA;RGCC;PLAAT4;CD28;TRAF3IP3;RSBN1;CAMK4;PTPRCAP;TSPYL2;MYLIP;RBL2;LEF1;DENND2D;RGS14;CD7;IDS;FBXO32;BCL2;GVINP1;KAT6B;MAX;SIGIRR;OXNAD1;TMC8;TBCC	CL:0000084	T cell	CL:0000815 regulatory T cell | CL:0000625 CD8-positive, alpha-beta T cell | CL:0002038 T follicular helper cell | CL:0000492 CD4-positive helper T cell | CL:0002419 mature T cell			
Naive B cell	4457	IGHD;LINC02397;STAG3;LINC00926;FCRL1;BTLA;USP12P1;IGHM;FCER2;IL4R;BACH2;SP140L;CD22;ITPR1;BCL11A;EBLN3P;CD72;AFF3;CEMIP2;HVCN1;ZCCHC7;IFT57;P2RY10;P2RX5;TSPAN13;PAX5;TNFRSF13C;ZCCHC10;RBM38;PLEKHF2;TSTD1;RCSD1;TAPT1;CDCA7L;TLE1;RASGRP2;GPR18;OTUD1;LGALS13;SESN1;LYL1;ZNF318;IL16;NIBAN3;ATF7IP;ADAM28;ANKRD44;CWF19L2;PRDM2;ZBED5	CL:0000788	naive B cell	CL:0000843 follicular B cell | CL:0000788 naive B cell | CL:0001064 malignant cell | CL:0001061 abnormal cell | CL:0000236 B cell			
NK T cell	3808	KLRB1;RORA;RNF19A;ODF2L;KAT6B;TMX4;MYLIP;EMB;CD96;INTS6;TARS3;PTGER4;GPR171;NCK2;IPCEF1;HERC5;SCML4;PARP8;SYNRG;GPATCH8;SLAMF6;IDS;CASP4LP;EPB41;SESN1;RSBN1;PYHIN1;CDC14A;GVINP1;CNOT6L;PRKCH;ARAP2;PHF1;TRAT1;PDE7A;EML4;TLE4;CASK;CD247;TTC39C;MGAT4A;ZNF831;STAT4;TC2N;NSMCE3;PTPN7;SYTL3;SKAP1;CCSER2;IKZF3	CL:0000814	mature NK T cell	CL:0000899 T-helper 17 cell | CL:0000442 follicular dendritic cell | CL:0000940 mucosal-associated invariant T cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
