# Muscle -- 23 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Mesenchymal cell	33125	ADH5;PGRMC1;CALU;ROMO1;RBBP4;NID1;UBE2I;PHF3;RAB34;PSMC5;HDLBP;TCF12;SPART;EZH2;USP32;KDELR1;PRRX1;GOLIM4;RTF1;ZFR;ANAPC11;NONO;MRPL51;H2AZ2;DNM3OS;PSMB5;DHX36;SSR2;ZNF638;DDAH2;DUT;SFRP1;SPCS2;ZNF106;BOD1;CDK2AP1;KAT6B;PHB2;ADD3;LSM3;PSMB7;SESTD1;SPOCK1;XRCC6;MRPS21;LPAR1;PDAP1;TMEM258;HNRNPA0;LAMB1	CL:0008019	mesenchymal cell	CL:0000218 myelinating Schwann cell | CL:0002573 Schwann cell | CL:0000499 stromal cell | CL:0002376 non-myelinating Schwann cell | CL:0002547 fibroblast of the aortic adventitia			
Fibroblast	14384	FBN1;GPNMB;ISLR;FSTL1;COL14A1;ACKR3;SFRP2;EFEMP1;CTSK;ABI3BP;TPPP3;SFRP4;CD248;GAS1;SCARA5;PCOLCE2;ANGPTL2;DPYSL3;MRC2;HTRA1;CYBRD1;COL12A1;TIMP2;CILP;MEDAG;TNFAIP6;TMEM176B;F10;SEMA3C;NFIX;MFAP5;FKBP2;FAM114A1;COL5A2;AEBP1;PLAGL1;FAP;CCDC80;REXO2;LOXL1;EFEMP2;TSPAN4;TMEM176A;MGST1;SOD3;NUPR1;OLFML3;MXRA8;DCLK1;SVEP1	CL:0000057	fibroblast	CL:0002547 fibroblast of the aortic adventitia | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000499 stromal cell | CL:0000134 mesenchymal stem cell			
Muscle progenitor cell	7829	ZFHX4;TTC3;KCNQ1OT1;TUT4;ARID4A;RBFOX2;MAGED2;GOLGA8A;ZKSCAN1;TCF12;KMT2A;EIF3L;AKAP9;SPATS2L;TFDP2;CHD3;MBD1;YTHDC1;ZNF638;WDR83OS;DNM3OS;SFRP1;TUBA1A;CUTA;KAT6B;OGA;SMAD5;PHPT1;ATP5F1A;SREK1;U2SURP;PTN;ZC3H11A;CREB5;NNAT;CDK6;PBX1;ESD;TUBB2B;PDLIM4;KCNN4;TCEAL4;SENP6;ATXN7L3B;NUMA1;RTF1;PSMB7;EIF3H;TOP2B;PRRC2B	CL:0011026	progenitor cell	CL:0000138 chondrocyte | CL:0000151 secretory cell | CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000499 stromal cell			
Skeletal muscle cell	7813	TNFRSF12A;WEE1;PPP1R14B;PPM1L;IMPDH2;SLC19A2;VDAC1P5;COPS9;RALGPS2;PON2;VDAC1;SPATS2L;TMX4;FBL;TBCA;MEG8;ARHGAP5;TLN2;MAN2A1;RARRES2;GREM1;NFIC;SKIL;NPTX2;SNHG5;ATP5MC1;KHDRBS3;FUNDC2;TMED10;NDUFB9;ASB5;AASS;MIR100HG;ELL2;CLCN5;UXT;NDUFB11;RPL22L1;NCAM1;NET1;UBE3A;MUSK;SMIM26;SLC25A21;RIF1;SGCA;PALLD;TFAM;NSA2;ADPRHL1	CL:0000188	cell of skeletal muscle	CL:0008011 skeletal muscle satellite stem cell | CL:0000594 skeletal muscle satellite cell | CL:0002211 type I muscle cell | CL:0002212 type II muscle cell | CL:4030006 fallopian tube secretory epithelial cell			
Smooth muscle cell	6019	MYH11;RERGL;PLN;MCAM;SORBS2;CCDC3;SOD3;MAGED2;FRZB;RTL8C;BGN;ILK;HCFC1R1;LMOD1;CASQ2;NDUFB9;CNN1;ARPC1A;SEPTIN7;WDR83OS;TAGLN;ESD;PHPT1;MYLK;MLF2;SH3BGRL;UQCRQ;KCNJ8;NDUFA6;NDUFB6;ATP5F1A;LGI4;MDH1;NDUFB2;COX8A;NUPR1;ABCC9;NDUFA1;CAVIN3;ATP5MC3;ATP5ME;RCAN2;ATP5PO;NDUFB7;CHCHD10;FAM162B;SLIRP;FKBP2;THBS4;CYC1	CL:0000192	smooth muscle cell	CL:0000192 smooth muscle cell | CL:0019018 blood vessel smooth muscle cell | CL:0000669 pericyte | CL:4033054 perivascular cell | CL:0008034 mural cell			
T cell	5666	PCLAF;UBE2C;PTTG1;CDK1;UBE2T;SNRPG;RRM2;ANAPC11;MEST;MAD2L1;BANF1;CKS2;NDUFB6;LSM5;TYMS;H2AZ2;SNHG5;GPC3;UQCRQ;SNHG32;NDUFA6;CMTM3;SEC61G;SEPTIN7;ATP5MF;CDKN3;TMEM258;DUT;MRPL51;CCNB1;COX8A;DECR1;SNRPE;LSM3;ATP5MC3;SNRPB2;DYNLT1;KPNA2;UQCR10;JPT1;CENPW;POLR2G;WDR83OS;BUB1B;ATP5PB;ATP5PO;MAGED2;OSTC;COL5A1;NUSAP1	CL:0000084	T cell	CL:0000764 erythroid lineage cell | CL:0000499 stromal cell | CL:0000232 erythrocyte | CL:0000081 blood cell | CL:0000775 neutrophil			
Endothelial cell	4525	RHOC;WDR83OS;GIMAP4;APLNR;C1orf54;FDPS;IL3RA;HRNR;FLOT1;SEC61G;LPAR6;CCDC85B;NAA38;PXDN;RBX1;PRMT1;SYPL1;HLA-DQB1;YWHAH;TSPAN4;RAMP2;DEPP1;KRTCAP2;HLA-DMA;PSMB8;PSME2;CRIP2;CSNK2B;SLIRP;TBCB;SNRPG;LXN;HLA-DRB5;TMEM258;TIE1;SEC62;NDUFB6;IFI6;TMEM88;PDCD6;HSD17B11;CD34;BRK1;TRMT112;CA4;TMED9;NDUFC1;SELENOH;EFNA1;SCAND1	CL:0000115	endothelial cell	CL:1000412 endothelial cell of arteriole | CL:1000413 endothelial cell of artery | CL:0002543 vein endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0000076 squamous epithelial cell			
Stromal cell	4005	COL5A1;MAGED2;CAPN6;MEST;COL5A2;GPC3;LAMA4;PTN;OGN;CCN3;CMTM3;EGFL6;ISLR;THY1;SEC61G;SNHG5;SNHG32;OSTC;SPRY1;FNDC1;DECR1;WDR83OS;SNRPE;FBN2;SSR2;TMEM258;ATP5PO;CRABP1;UQCRQ;SERPINE2;ASPN;NDUFS4;ATP5MC3;ATP5F1A;OST4;SEPTIN7;NDUFB6;ARF4;POLR2G;DLK1;SEPTIN2;ESD;PSMB5;RNF7;ATP5PB;RBX1;PRDX4;SNRPB2;SMIM26;TBCA	CL:0000499	stromal cell	CL:0000499 stromal cell | CL:0000764 erythroid lineage cell | CL:0000057 fibroblast | CL:0000138 chondrocyte | CL:0002320 connective tissue cell			
Vascular endothelial cell	3580	SELE;ACKR1;OLFM1;PLAT;PLVAP;CSF3;IL1R1;CXCL10;STC1;VCAM1;ZNF385D;CCL14;NCOA7;RAMP3;PTPMT1;PRCP;RND1;SLCO2A1;MCTP1;CPXM2;IL33;MPZL2;MYOF;ITPKC;TRIB1;IL6;LPCAT4;ARPC5L;TMEM70;FOXC1;PREX2;CLIC2;RCAN1;HAPLN3;CMAHP;GASK1B;LRG1;TNFRSF10B;HIPK3;ARRDC3;RHOU;EHD4;TSHZ2;TSPAN7;ITPR1;OSMR;G3BP1;CMIP;RELL1;YPEL2	CL:0002139	endothelial cell of vascular tree	CL:0002543 vein endothelial cell | CL:0000115 endothelial cell | CL:0000066 epithelial cell | CL:1000414 endothelial cell of venule | CL:0002139 endothelial cell of vascular tree			
Macrophage	2942	MRC1;F13A1;VSIG4;C1QB;C1QC;FOLR2;C1QA;STAB1;CD163;MSR1;LYVE1;CSF1R;MFSD1;CREG1;HMOX1;ARHGAP18;LILRB5;LGMN;MYO5A;BCAT1;KIF20B;TPP1;MS4A4A;SLCO2B1;RGL1;CLTC;RBPJ;PLD3;GPR34;CD83;RASGEF1B;C3AR1;PLEKHB2;ARL8B;CCDC88A;TTYH3;FCGR2B;CCR1;SNX9;ADAM9;MARCO;SNX2;FPR3;ATP6V1B2;TGFBI;GNA13;BLVRB;ATP6AP1;SH2B3;FCGR2A	CL:0000235	macrophage	CL:0000235 macrophage | CL:0000145 professional antigen presenting cell | CL:0000113 mononuclear phagocyte | CL:0000234 phagocyte | CL:0000766 myeloid leukocyte			
