# Prostate -- 12 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Epithelial cell	60521	MIR205HG;LCN2;CXCL17;S100P;SDCBP2;CEACAM1;GPRC5A;DUSP5;CYP3A5;TNFRSF21;SDC4;PRSS22;GPX2;GALNT3;SLPI;KCNK1;CRABP2;NECTIN2;SH3YL1;C19orf33;CHMP2B;LRRC8A;TRAF4;MMP7;F11R;PHLDA3;ELF3;POLR2K;MDK;LY6E;SPATS2L;CSNK1E;MAP3K13;BAG1;GDF15;MRPL14;SDC1;CAPN2;PMAIP1;DSP;TJP1;MAPK6;ACTN4;MAST4;IGFBP3;UGCG;PLPP2;CHMP4B;PDLIM4;ADGRF1	CL:0002231	epithelial cell of prostate			
Basal cell	53188	KRT5;CAV2;KRT15;CLDN1;PLAU;HBEGF;PLP2;EDN1;MYC;DEFB1;CCN1;KRT23;SLC14A1;ITGA2;NOP16;MRPS6;FOSL1;SERPINB5;PDLIM5;LAMB3;SLC20A2;KLF4;ZNF593;PDCD5;CNTN1;RGCC;ADM;TGIF1;PAWR;LIMA1;NHP2;FAM3C;ITGA6;PLAT;LAMC2;PRMT1;MANF;CD47;S100A2;CSRP1;EGR1;DUSP14;FHL2;S100A11P1;NXT1;CLTB;DKK1;IRF6;PMAIP1;PDLIM4	CL:0000646	basal cell			
Fibroblast	15494	FBLN1;APOD;PTN;LUM;DCN;MMP2;SERPINE2;SERPINF1;PTGDS;HSD11B1;FGF7;MEG3;CFD;CLMP;AKR1C1;LTBP4;PDPN;MFAP4;TNFAIP6;RND3;SFRP2;CXCL10;GPM6B;CFH;RARRES2;TFPI;PDGFRA;C1S;AEBP1;FGFR1;MEG8;SDC2;PRRX1;IGFBP2;FGF13;MGST1;PCOLCE;PRELP;SLC39A14;COL6A3;IL6;SOX4;DNAJB9;SERPING1;SPOCK3;FSTL1;C1R;RHOBTB3;SPON2;DKK3	CL:0000057	fibroblast			
Smooth muscle cell	11738	EDNRB;CCL2;ID4;SSTR2;TCIM;STEAP4;MTHFD2;CSRP2;KCNE4;ADAMTS1;PTPN1;NR2F2;GJA4;PDGFRB;MT1M;PHLDA1;SNAI2;LHFPL6;SPTSSA;TPPP3;MAP1B;NGF;ARID5B;GPX3;SNHG15;PROCR;AGXT;FOXC2;VASN;RGS16;GGT5;LAMA4;KLF9;CREM;SMIM3;NOLC1;NDUFA4L2;ZNF503;SOCS3;FADS3;GABARAPL1;ADRA2A;MT1A;LMNA;SERTAD1;MYC;IFRD1;CTSL;SOD3;ZNF331	CL:0000192	smooth muscle cell			
Luminal cell	8610	PLA2G2A;SLC39A6;SLC44A4;MSMB;TMC5;SPDEF;RASEF;PSCA;TPD52;STEAP2;SLC12A2;TSPAN8;EFNA1;RAB27B;HOMER2;GOLM1;TMPRSS2;TFF1;ARFGEF3;TMEM141;ERBB3;ZG16B;NKX3-1;MEAF6;PMEPA1;CLDN3;ALDH1A3;ELAPOR1;NPDC1;CDC42EP5;SERINC5;FAM177A1;PART1;FLNB;AFDN;KIF5C;MLPH;STARD10;H2AJ;KLK4;SYT7;CREB3L4;BACE2;KLK11;LMO7;SQOR;FZR1;NEDD4L;TMEM87A;SEC11C					
Endothelial cell	7250	IFI27;PCAT19;CD200;CLDN5;CALCRL;ADGRL4;VWF;SELE;ACKR1;RAI14;PPY;WWTR1;PLVAP;ZNF385D;STC1;LCN6;FLT1;EMCN;CNKSR3;ZEB1;APP;SPRY1;AQP1;PPFIBP1;HSPG2;ICAM1;NQO1;CSF3;SLC7A11;FAM241A;MMP1;RAB13;SOX17;PLK2;GNG11;TUBB6;ADAMTS9;LUZP1;GJA1;PRSS23;TSPAN7;SASH1;SERPINE1;SPTBN1;ESAM;TM4SF18;THBD;MAFG;HMOX1;PKIG	CL:0000115	endothelial cell			
CD8 T cell	1081	DUSP2;FOSB;GZMH;IFNG;TUBA4A;GPR171;CST7;DNAJB4;GZMA;KLRC1;TRBC2;LYAR;SYTL3;CD7;PDE4D;CD69;CEMIP2;HCST;PLAAT4;LCK;TRAC;CD52;SKAP1;ARRDC3;SOCS1;OXNAD1;RUNX3;DOK2;ERN1;DEDD2;GZMB;ARL4C;LEPROTL1;CXCR6;DDIT3;TNFSF14;CCL4;PPP2R5C;NKG7;BCAS2;CYCSP5;BUB3;PTPN22;P2RY10;HOPX;MYLIP;TNFAIP3;PRF1;TRGC1;CLEC2D	CL:0000625	CD8-positive, alpha-beta T cell			
Macrophage	1051	HSPA6;IL1B;ZFAND2A;EGR1;APOC1;BCL2A1;BAG3;DNAJA4;NR4A2;CCL3;CCL4L2;CD83;MAP3K8;TMEM176B;APOE;C5AR1;PLIN2;PDE4B;TNFAIP3;CREM;NFKBIZ;KCNMA1;RASGEF1B;LGMN;ATF3;IFRD1;CKS2;YPEL5;MRPL18;ARL4A;RIPK2;ZNF331;ANKRD37;CCL3L3;SAMSN1;DEDD2;RAB20;CTSL;FABP5P1;H1-10;ATP2B1;AZIN1;SUMO1;MXD1;FOSL2;TAMALIN;DDIT3;RGCC;PILRA;UBE2A	CL:0000235	macrophage			
Pericyte	990	MUSTN1;MYH11;FLNA;COX7A1;SEPTIN7;MYLK;PPP1R14A;MAP3K20;ACTA2;COL4A2;BGN;CNN1;SYNPO2;CNRIP1;TNS1;PLN;COL18A1;TGFB1I1;ECRG4;TINAGL1;DBNDD2;FXYD1;CAMK2N1;ATF3;PDLIM3;SYNM;NOTCH3;TPM2;BCAT2;FRZB;ZBTB20;EPAS1;PCP4;RBPMS;FHL1;NDUFA4L2;SMTN;COL4A1;DES;FOSL2;MFGE8;PDLIM7;CAVIN1;CAVIN3;MCAM;COL6A1;FSTL3;TAGLN;RGS5;EFHD1	CL:0000669	pericyte			
NK T cell	843	GNLY;TRDC;TRBC1;KLRC2;IDI1;ZNF331;DDIT3;GZMB;GTF3C6;KLRF1;BCAS2;ISG20;CLIC3;TXK;NKG7;PTPN22;CD247;ECI2;CEMIP2;RAB27A;CCL3;TLE1;CST7;CD160;CD7;NR4A2;TRGC1;NOP58;YPEL5;SAMD3;ARRDC3;MRPL32;ATF3;HOPX;GZMK;IRF1;TNFSF14;ITGA1;CCL4L2;PRF1;CDKN1B;TMIGD2;TRGC2;CCNH;GZMA;KLRD1;GABARAPL1;PYHIN1;ATP5IF1;DOK2	CL:0000814	mature NK T cell			
