# Skin -- 48 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Fibroblast	208281	WIF1;PTK7;OSR2;C1QTNF2;CLDN11;FBLN5;APCDD1;GAS1;CCDC80;ECRG4;SVIL;RBFOX2;ASPH;FKBP1B;ARHGAP24;TPBG;PDLIM2;CYBRD1;ADGRL2;LINC01116;SNAI2;KCNQ1OT1;BEND5;SFRP2;RUNX1T1;IGFBP5;MXRA5;DNM3OS;GSTM5;GPC6;CDON;ADGRA2;EMX2OS;COL16A1;FBLN2;SDC2;C1orf122;BMP4;DPT;EFNA5;YIPF5;EMILIN1;FAM229B;TRIL;QPRT;TAX1BP3;ALDH7A1;FMOD;TMEM263;ZNF704	CL:0002620	skin fibroblast	CL:0000057 fibroblast | CL:0000134 mesenchymal stem cell | CL:0002320 connective tissue cell | CL:0002620 skin fibroblast | CL:1000458 melanocyte of skin			
Keratinocyte	64904	DENND2C;KLC3;FAM83B;KRT17;GJB3;PRSS3;NR1D1;SDR16C5;CYB5R1;SPINK5;SDCBP2;DAPL1;CRB3;PKP3;ZBTB43;CAPNS2;MAL2;TMEM45A;GIPC1;RGS12;CCDC186;LYPD6B;PPP2R2A;HMGCS1;MIB2;FBXW7;RRAGC;PRRG4;ATP2B4;UBR4;ITPKC;HCAR2;CDHR1;CASP14;IRF6;TINCR;F2RL1;HRAS;RHOD;STAP2;IL18;MAPK13;PUM1;KLK11;EXPH5;EFNA3;SUN1;TOR1AIP2;ANKRD22;NECTIN1	CL:0000312	keratinocyte	CL:2000092 hair follicular keratinocyte | CL:0000312 keratinocyte | CL:0000362 epidermal cell | CL:0000076 squamous epithelial cell | CL:0002189 granular cell of epidermis			
Macrophage	32205	MRC1;LILRB5;CD163;F13A1;TTYH3;RGL1;SIGLEC1;AGR2;STAB1;LY96;COLEC12;GAS6;FOLR2;MAN1A1;TNF;NPL;WWP1;MCOLN1;CD36;HNMT;TIMD4;MS4A4A;CLTC;USP36;PLXND1;HMOX1;HSPA6;DAB2;C2;EGR2;PYGL;RAB20;IER5;CD14;DUSP3;HEXA;GNS;RAP2B;CYTH4;WDR26;ITSN1;LYVE1;PLTP;NEU1;CPEB4;SCN9A;AP2A2;NAGK;ABCA1;LPCAT1	CL:0000235	macrophage	CL:0000235 macrophage | CL:0000766 myeloid leukocyte | CL:0000763 myeloid cell | CL:0000145 professional antigen presenting cell | CL:0000113 mononuclear phagocyte			
Tissue-resident macrophage	24061	ABL2;KDM6B;CYB5D1;ATP2B1-AS1;EHD1;HBEGF;NLRP3;TLR2;USP36;RNF145;ICAM1;RAP2B;RBM47;THAP2;CSRNP1;MAP2K3;GAS6;RASGEF1B;SH2B3;AGR2;IFNGR2;MIR3945HG;MAFF;MIDN;CCRL2;ZFYVE16;IL10;IL1A;SYAP1;FNIP2;KMT2E-AS1;ARID3A;NEU1;ACSL1;BCL2A1;STX4;HEXA;OTUD1;SOCS3;BCL3;IL6R;MAP3K8;HBB;TNF;ZNF267;CPEB4;ABCA1;ARL5B;C16orf72;TPD52L2	CL:0000864	tissue-resident macrophage	CL:0000576 monocyte | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell | CL:0000775 neutrophil | CL:0001065 innate lymphoid cell			
Monocyte	23110	ATP2B1-AS1;TRAPPC5;NLRP3;ZFYVE16;TREM1;SLC7A7;SLC11A1;TOMM6;NAIP;OTUD1;PYGL;HOOK3;EMILIN2;GPCPD1;KLF2;SNX18;KDM6B;RAP2B;NCF2;IER5;MAP3K2;EHBP1L1;BOD1L1;S100A12;RBM47;RNF13;SEPTIN9;DDX39B;POU2F2;VPS13C;RASGEF1B;GNB2;AFF4;RNASEK;LILRB3;TET2;MYO9B;PJA2;ADGRE5;MAP2K2;TLR2;CHD2;USP36;ATP6V1B2;NCKAP1L;SH3BP2;HBEGF;RIN2;DMXL2;WDR26	CL:0000576	monocyte	CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000576 monocyte | CL:0000081 blood cell | CL:0000071 blood vessel endothelial cell			
Vascular endothelial cell	19261	CLDN15;ZNF385D;UPP1;ZEB1;RCAN1;LUZP1;MCTP1;GBE1;NEDD9;RND1;NEURL1B;PLS3;SOX17;RALGAPA2;SERPINE1;STX12;SEC14L1;SLCO4A1;ABCG1;GARRE1;HIPK3;MEOX1;BCL6B;DAPK3;CX3CL1;LRP10;FLT1;RAI14;RPGR;LRRC8C;CRIM1;IL3RA;ECE1;UBE2W;KLF7;SYNPO;COL15A1;FBXO34;CLIC4;KCNJ15;CD93;DEPP1;TNFAIP1;CARS1;TACR1;MYO1E;ACKR1;PDE2A;MOB2;TBC1D15	CL:0002139	endothelial cell of vascular tree	CL:0002139 endothelial cell of vascular tree | CL:0000071 blood vessel endothelial cell | CL:0000115 endothelial cell | CL:0000784 plasmacytoid dendritic cell | CL:0000775 neutrophil			
Smooth muscle cell	17243	SYNPO2;LMOD1;RRAS;KANK2;STEAP4;PALLD;IRAG1;FILIP1L;PPP1R12B;MYH11;LGI4;RCAN2;RRAD;MRGPRF;ZBTB20;TNS2;ADRA2A;CCN2;CARMN;SLIT1;MSRB3;PTMS;INAFM1;GGT5;GUCY1A1;BCL7C;PARM1;PDE5A;SORBS3;RERG;DENND2B;CCDC3;TNFSF12;ENAH;COL14A1;TNS1;ARHGAP1;AMOTL2;CAVIN3;RASL11A;MARVELD1;CNN1;ADD1;ARHGAP21;UTRN;MAP4;IER5L;PURA;TJP1;JAG1	CL:0000192	smooth muscle cell	CL:1000458 melanocyte of skin | CL:0002573 Schwann cell | CL:0000359 vascular associated smooth muscle cell | CL:0000192 smooth muscle cell | CL:4033054 perivascular cell			
ILC	13525	TRDC;TRBC1;NCR3;TOX2;PDE4D;ZNF331;LINC00299;CCDC107;TNFRSF25;FAM177A1;CHD2;HELZ;SEPTIN6;EML4;KRT86;C17orf49;TNFSF14;TMIGD2;ZBTB1;JMY;KLRC1;PRKX;TRGC1;ADGRE5;TIPARP;STAT4;PTPN4;CD69;SEPTIN1;SPTY2D1;MAP3K8;SEPTIN7;ACAP1;DUSP10;TXK;SESN1;PCED1B-AS1;MAD1L1;HSH2D;SYTL1;CSRNP1;CD96;PREX1;ARHGAP9;ARID4B;YPEL5;TOMM6;ICAM3;CCR6;ALDOC	CL:0001065	innate lymphoid cell	CL:0001071 group 3 innate lymphoid cell | CL:0001069 group 2 innate lymphoid cell | CL:1000448 epithelial cell of sweat gland | CL:0000071 blood vessel endothelial cell | CL:0000899 T-helper 17 cell			
Endothelial cell	12773	VWF;AQP1;IL33;MMRN2;DIPK2B;KDR;NPDC1;LIFR;RAMP3;CLEC14A;ECSCR;IGFBP2;ROBO4;ADAM15;SOX18;RASIP1;EFNB2;CD34;CDH5;RAMP2;CYYR1;SLC9A3R2;SHANK3;PTPRB;TJP1;PTPRM;SOX7;RPS6KA2;S1PR1;CCL14;HEG1;BMPR2;SPTAN1;JAM2;ADGRF5;NFE2L1;RAPGEF5;PREX2;PODXL;VAMP5;UTRN;SASH1;PLEC;SOCS3;HYAL2;KANK3;MBNL2;PALMD;ADCY4;FLNB	CL:0000115	endothelial cell	CL:0000071 blood vessel endothelial cell | CL:0000115 endothelial cell | CL:0002139 endothelial cell of vascular tree | CL:0002620 skin fibroblast | CL:0000057 fibroblast			
Vascular smooth muscle cell	12602	KCNJ8;FAM162B;TCIM;RASL12;MYO1B;COX4I2;TNMD;AVPR1A;OLFML2B;ABCC9;HIGD1B;ITGA1;LURAP1L;ENPEP;TINAGL1;PCDH18;PTK2;HSPA2;ITGA7;EGFLAM;HEYL;PRKG1;AOC3;ANGPT2;NDUFA4L2;DLC1;EHD2;MAP1LC3A;RGS16;EPHX1;MAPT;TRPC6;FRMD3;RERG;MYLK;TGFB1I1;ATP1B2;DAAM2;UACA;SMTN;TEAD2;GUCY1A1;SH3RF1;EDNRA;HRC;SEMA5B;TMEM100;LINC02381;CCDC102B;SERPINI1	CL:0000359	vascular associated smooth muscle cell	CL:0000359 vascular associated smooth muscle cell | CL:0000192 smooth muscle cell | CL:4033054 perivascular cell | CL:0000183 contractile cell | CL:0000071 blood vessel endothelial cell			
