# Spinal_cord -- 20 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Neuron	219975		CL:0000540	neuron	CL:0000617 GABAergic neuron | CL:0000151 secretory cell | CL:0000679 glutamatergic neuron | CL:0000540 neuron | CL:0001031 cerebellar granule cell			
Astrocyte	205266		CL:0000127	astrocyte	CL:0000359 vascular associated smooth muscle cell | CL:1000413 endothelial cell of artery | CL:0000183 contractile cell | CL:0000071 blood vessel endothelial cell | CL:0002144 capillary endothelial cell			
Neural progenitor cell	180461		CL:0011020	neural progenitor cell	CL:0000075 columnar/cuboidal epithelial cell | CL:0008001 hematopoietic precursor cell | CL:0000038 erythroid progenitor cell | CL:0000764 erythroid lineage cell | CL:0002320 connective tissue cell			
Oligodendrocyte	138217		CL:0000128	oligodendrocyte	CL:0000128 oligodendrocyte | CL:0000126 macroglial cell | CL:0000125 glial cell | CL:0000095 neuron associated cell | CL:0002319 neural cell			
Microglia	78830		CL:0000129	microglial cell	CL:0000235 macrophage | CL:0000113 mononuclear phagocyte | CL:0000145 professional antigen presenting cell | CL:0000842 mononuclear leukocyte | CL:0000878 central nervous system macrophage			
Oligodendrocyte precursor cell	46600		CL:0002453	oligodendrocyte precursor cell	CL:0002453 oligodendrocyte precursor cell | CL:0011026 progenitor cell | CL:0011115 precursor cell | CL:0000679 glutamatergic neuron | CL:0001031 cerebellar granule cell			
Vascular leptomeningeal cell	30823		CL:4023051	vascular leptomeningeal cell	CL:0000075 columnar/cuboidal epithelial cell | CL:0002320 connective tissue cell | CL:0000183 contractile cell | CL:0000359 vascular associated smooth muscle cell | CL:4033054 perivascular cell			
Ependymal cell	20219		CL:0000065	ependymal cell	CL:0000065 ependymal cell | CL:0000075 columnar/cuboidal epithelial cell | CL:0000066 epithelial cell | CL:0000129 microglial cell | CL:0000738 leukocyte			
Vascular epithelial cell	14737		CL:0000066	epithelial cell	CL:0000075 columnar/cuboidal epithelial cell | CL:0000617 GABAergic neuron | CL:0002144 capillary endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0000151 secretory cell			
Progenitor cell	5677		CL:0011026	progenitor cell	CL:0002453 oligodendrocyte precursor cell | CL:0011026 progenitor cell | CL:0011115 precursor cell | CL:0001031 cerebellar granule cell | CL:0000679 glutamatergic neuron			
Mesenchymal cell	5512		CL:0008019	mesenchymal cell	CL:0002320 connective tissue cell | CL:1000413 endothelial cell of artery | CL:0008034 mural cell | CL:0000071 blood vessel endothelial cell | CL:4033054 perivascular cell			
Midplate (MP) cell	2437				CL:0000065 ependymal cell | CL:0000075 columnar/cuboidal epithelial cell | CL:0000127 astrocyte | CL:0000679 glutamatergic neuron | CL:0011026 progenitor cell			
Endothelial cell	1746		CL:0000115	endothelial cell	CL:0000115 endothelial cell | CL:0000066 epithelial cell | CL:0002144 capillary endothelial cell | CL:0000071 blood vessel endothelial cell | CL:1000413 endothelial cell of artery			
Pericyte	1722		CL:0000669	pericyte	CL:0002320 connective tissue cell | CL:0000183 contractile cell | CL:0008034 mural cell | CL:4033054 perivascular cell | CL:0000359 vascular associated smooth muscle cell			
Schwann cell	1715		CL:0002573	Schwann cell	CL:0000128 oligodendrocyte | CL:0000126 macroglial cell | CL:0000125 glial cell | CL:0000095 neuron associated cell | CL:0002319 neural cell			
Floor plate (FP) cell	1395				CL:0000065 ependymal cell | CL:0000075 columnar/cuboidal epithelial cell | CL:0000679 glutamatergic neuron | CL:1000413 endothelial cell of artery | CL:0002320 connective tissue cell			
Sympathetic neuron	1395		CL:0011103	sympathetic neuron	CL:0000617 GABAergic neuron | CL:0000151 secretory cell | CL:0000540 neuron | CL:0000679 glutamatergic neuron | CL:0001031 cerebellar granule cell			
Multipotent hematopoietic progenitor	1368				CL:0000766 myeloid leukocyte | CL:0000738 leukocyte | CL:0000988 hematopoietic cell | CL:0000763 myeloid cell | CL:0000145 professional antigen presenting cell			
Erythrocyte	1061		CL:0000232	erythrocyte	CL:0000764 erythroid lineage cell | CL:0000038 erythroid progenitor cell | CL:0008001 hematopoietic precursor cell | CL:0011026 progenitor cell | CL:0011115 precursor cell			
Roof plate (RP) cell	892				CL:0000065 ependymal cell | CL:0000075 columnar/cuboidal epithelial cell | CL:0011026 progenitor cell | CL:0002453 oligodendrocyte precursor cell | CL:0011115 precursor cell			
