# Spleen -- 45 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
NK cell	47436	CLIC3;KLRF1;TXK;KLRC1;XCL1;IL2RB;XCL2;APMAP;CD247;SH2D1B;CCL3;PYHIN1;MATK;DENND2D;CD160;NCR3;TRDC;TTC38;S1PR5;SH2D1A;SYTL1;PTPN4;TBC1D10C;ZAP70;SH2D2A;NCR1;HOPX;FASLG;PILRB;IFNG;SIGIRR;KLRB1;APOBEC3G;TRAF3IP3;PCSK7;TNFSF14;MIB2;SAMD3;PLEKHF1;MCTP2;HELZ;PTGDR;CMC1;SLA2;GIMAP4;CLEC2B;GNG2;PLAAT4;CHST12;OPTN	CL:0000623	natural killer cell	CL:0000814 mature NK T cell | CL:0000938 CD16-negative, CD56-bright natural killer cell, human | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell | CL:0001065 innate lymphoid cell			
B cell	44560	FCRLA;CD22;CD19;HVCN1;CD40;NIBAN3;HLA-DQA1;SLC6A20;ARHGAP24;SWAP70;SMIM14;RALGPS2;FCMR;CD72;LINC00926;PARP15;BANK1;SP140;CLECL1;HLA-DQB1;TNFAIP8;IGHD;PARP14;CYB561A3;LY9;RUBCNL;LINC01857;TNFRSF13C;FCER2;HLA-DQA2;HLA-DOB;ACP5;CXCR5;GPR18;NCF1;BLK;ARHGAP25;DRAM2;MS4A2;TRIM38;TNFRSF14;KDM4B;MYC;SYTL1;LPXN;FCRLB;CHI3L2;SNX29;SMC6;GGA2	CL:0000236	B cell	CL:0000954 small pre-B-II cell | CL:0000816 immature B cell | CL:0000788 naive B cell | CL:0000817 precursor B cell | CL:0000236 B cell			
Fibroblast	34445	CXCL6;IFIT1;STC2;ITGA8;FIBIN;EMP1;CXCL1;HGF;CCL2;KAZALD1;VEGFA;P3H2;RND3;KIF21A;ANK2;PPFIBP1;GALNT3;CSF1;TFPI;PARVA;EGR2;TNS2;KLK6;RERG;TUSC3;VCAM1;L1TD1;IGF2;TLX1;PLEKHH2;PTK7;TMEM100;NID1;MAPK10;FREM2;NKX2-5;ANTXR1;RBMS1;RAB28;TCF12;PANK1;FBLIM1;GULP1;ARL4D;LINC02544;CDC42EP3;VASN;ASCC3;EMILIN1;LAMA2	CL:0000057	fibroblast	CL:0000057 fibroblast | CL:0002320 connective tissue cell | CL:0000499 stromal cell | CL:0000192 smooth muscle cell | CL:0000359 vascular associated smooth muscle cell			
Memory B cell	29932	LINC01781;P2RX5;BLK;PAX5;TNFRSF13C;LY9;CR2;LINC01857;ADAM28;SWAP70;ARHGAP24;CXCR5;LINC02397;RALGPS2;PARP15;FCMR;ARHGAP25;CD19;CD22;AFF3;TNFRSF13B;CHD7;CD40;FCRL1;BCAS4;LINC00926;BANK1;RIC3;AIM2;KLK1;FCRLB;COBLL1;MGAT5;ANKRD13A;CYFIP2;PARP14;BCL2;CLECL1;DMXL1;SP110;ZBTB20;PRDM2;SP140;SSH2;PCDHA6;PIKFYVE;SETBP1;TRIM38;IFT57;TMC8	CL:0000787	memory B cell	CL:0000787 memory B cell | CL:0000788 naive B cell | CL:0000236 B cell | CL:0000785 mature B cell | CL:0000945 lymphocyte of B lineage			
Naive B cell	29601	TCL1A;FCER2;IGHD;LINC00926;HVCN1;STAG3;ARHGAP24;HLA-DOB;CD72;CD22;FCMR;IL4R;TNFRSF13C;ADAM28;FCRL1;P2RX5;BANK1;BACH2;CD40;NIBAN3;TNFAIP8;AFF3;CD19;SWAP70;BLK;PARP14;SNX29;NCF1;HLA-DRB5;IFT57;EBLN3P;RALGPS2;HLA-DMB;HLA-DQB1;COL19A1;CYB561A3;SP100;SP140L;HLA-DOA;RHOH;TRAF3IP3;SESN1;ZNF318;BTLA;HLA-DQA1;TNFRSF14;GGA2;FCRLA;ANKRD44;PPM1K	CL:0000788	naive B cell	CL:0000788 naive B cell | CL:0000816 immature B cell | CL:0000954 small pre-B-II cell | CL:0000819 B-1 B cell | CL:0000817 precursor B cell			
Naive CD4 T cell	23760	LEF1;CCR7;CAMK4;MGAT4A;NSMCE3;MCUB;ANXA2R;SATB1;CD6;ICOS;LEPROTL1;ABLIM1;TRAC;CMPK1;SSH2;OXNAD1;CD5;PLK3;OCIAD2;RETREG1;ARHGAP45;SIGIRR;PIK3IP1;WHAMM;CHD3;TRABD2A;RNF139;BCAS2;GCC2;NOSIP;CYTH1;RCAN3;JMJD1C;ARRDC2;RHOH;TRAF3IP3;VAMP2;LDLRAP1;TBC1D10C;C16orf54;CLEC2D;PDE3B;IRF9;G3BP2;PCSK7;FAM102A;MED10;CRTC3;FAM107B;UBALD2	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000900 naive thymus-derived CD8-positive, alpha-beta T cell | CL:0000898 naive T cell | CL:0000895 naive thymus-derived CD4-positive, alpha-beta T cell | CL:0000809 double-positive, alpha-beta thymocyte | CL:0000893 thymocyte			
Monocyte	22741	UPP1;DPYD;GAS7;LILRA5;ASGR1;SLC43A2;ZDHHC20;SCPEP1;SLC7A7;STX11;CD300E;JDP2;PLBD1;NCF2;GPCPD1;FGR;IFI30;FBXL5;GLIPR2;SNX10;ITGAM;MAP3K1;MYO1G;LRRC25;CLEC12A;SQOR;ATP6V1B2;RXRA;WDR26;UBXN11;FCN1;UBE2D1;PILRA;GASK1B;SERPINA1;EMILIN2;SNX27;LILRA1;KCTD12;C3AR1;DMXL2;NAIP;SIRPA;FGD4;GNS;C19orf38;CD14;SULT1A1;DUSP6;LRRK2	CL:0000576	monocyte	CL:0002393 intermediate monocyte | CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000081 blood cell | CL:0000860 classical monocyte			
CD4 T cell	21232	TRAC;GIMAP4;TRAF3IP3;GIMAP2;PCSK7;TBC1D10C;SLC6A20;DENND2D;TRAT1;LEF1;GIMAP7;TNFAIP8;MCUB;GPR171;CMPK1;GIMAP1;NBEAL1;ANXA2R;ACAP1;C1orf56;ZNF90;AAK1;SIGIRR;GBP2;CLEC2D;SH3YL1;SLFN5;TNFRSF14;TRBC1;PLAAT4;ODF2L;POLR2J3;LINC00861;NOSIP;CD247;SERINC5;OXNAD1;IL27RA;MT2A;LEPROTL1;GCC2;HMOX2;S1PR4;CAMK4;CD40LG;PIK3IP1;CCR7;RHOH;LCK;OCIAD2	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000802 CD8-alpha alpha positive, gamma-delta intraepithelial T cell | CL:0002038 T follicular helper cell | CL:0002496 intraepithelial lymphocyte | CL:0000492 CD4-positive helper T cell			
Macrophage	21144	FOLR2;CD5L;LILRB5;MCOLN1;C1QC;TIMD4;SDC3;SLCO2B1;PLA2G7;SMPDL3A;TTYH3;PDK4;CSF1R;SCGB1D1;PPM1N;C1QA;NR1H3;WWP1;APOC1;MERTK;C2;ABCA1;SGPL1;RGL1;HMOX1;RAB20;MMP19;C1QB;ADAP2;SPIC;KCNMA1;CD163;IFT74;SIGLEC7;CMKLR1;EPB41L3;NPL;VSIG4;NINJ1;MSR1;SIGLEC1;ATP1B1;GATM;AXL;CCR1;GPR34;POR;MRC1;ACP2;FCGR3A	CL:0000235	macrophage	CL:0000091 Kupffer cell | CL:0000235 macrophage | CL:0000864 tissue-resident macrophage | CL:0000113 mononuclear phagocyte | CL:0000766 myeloid leukocyte			
CD8 T cell	13950	TRAC;SH2D1A;DENND2D;GIMAP4;TBC1D10C;TRAF3IP3;GPR171;MT2A;GIMAP2;PCSK7;ANXA2R;CD8B;PLAAT4;GBP2;SLC6A20;SIGIRR;TRGC2;PYHIN1;SHFL;ACAP1;GIMAP1;GIMAP7;MT1X;CD8A;CXCR6;CLEC2D;GZMK;CD247;KLRG1;TNFAIP8;ISG15;LCK;SLFN5;C1orf56;AAK1;HMOX2;ODF2L;STAT1;PILRB;GZMM;PLEKHF1;LPXN;ZAP70;TNFRSF14;BTN3A2;TRBC1;LAG3;APMAP;CMPK1;CD96	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000802 CD8-alpha alpha positive, gamma-delta intraepithelial T cell | CL:0002496 intraepithelial lymphocyte | CL:0002038 T follicular helper cell | CL:0000492 CD4-positive helper T cell			
