# Stomach -- 11 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
Epithelial cell	5344	KRT19;ANXA1;KRT8;JUN;KRT13;KLF5;CD9;DSP;HNRNPA1;ANXA2;LGALS3;JUND;DUSP12;FOSB;EZR;RPL28;ZFP36L1;H19;ATF3;S100A11;SERPINB2;RPS21;KLF6;MSMB;DNAJA1;GNAS;RPS10;PARD3;NT5C3A;ERRFI1;RACK1;SLPI;IGF2;RHOA;MYL12B;PRDX1;KRT18;POLR2L;SLC38A2;SLC38A1;TIMP1;BTN3A3;AHNAK;EEF2;SEM1;TUBA1C;CSMD1;LMNA;AQP3;NDRG1	CL:0000066	epithelial cell	CL:0000584 enterocyte | CL:0000677 gut absorptive cell | CL:0000067 ciliated epithelial cell | CL:0002179 foveolar cell of stomach | CL:0002563 intestinal epithelial cell			
Fibroblast	4573	JUNB;MCM2;OLFML3;ID1;LAPTM4A;NR4A1;MFAP4;ZFP36L2;TCEAL9;COL5A1;NAP1L1;ID3;EIF4A3;COL1A1;LUM;KLF10;SRSF3;IFITM3;PTN;SON;NPM1;H2AZ1;TNC;HNRNPDL;SNHG32;HSPA8;MDK;CKS2;HSPD1;HNRNPD;HSPE1;HNRNPK;SRSF7;HSP90AB1;GPC3;HNRNPA2B1;CD63;SNRPE;SLC38A2;ATF3;SOCS3;SRSF2;DDX5;HMGB1;HNRNPH3;FBLN1;UBC;RPL4;UQCRH;BTN3A3	CL:0000057	fibroblast	CL:0000134 mesenchymal stem cell | CL:0002088 interstitial cell of Cajal | CL:1000413 endothelial cell of artery | CL:0000499 stromal cell | CL:0002144 capillary endothelial cell			
Chief cell	4369	LIPF;PGA5;PGC;CHIA;CXCL17;PGA3;NBPF12;REG1A;METTL7A;GNAS;EEF2;NEAT1;MT1X;EEF1D;CST3;MUC1;MT1M;CA9;PDIA2;DCXR;NOP53;FMOD;CCNI;FMO5;RACK1;RPS10;AZGP1;RPS4X;PABPC4;LEPR;RPS21;CD63;CDK5RAP3;ERO1B;SLC25A6;GPT2;RPS9;CTSD;RPL4;PCBP2;FKBP5;RPS7;ERP29;RPL19;EPN1;CAPN2;PRDX4;RPS8;RPL5;RPS28	CL:0000155	peptic cell	CL:0000155 peptic cell | CL:0000152 exocrine cell | CL:0002181 mucous neck cell of gastric gland | CL:0002180 mucous cell of stomach | CL:0000319 mucus secreting cell			
Stromal cell	3479	DCN;C3;COL3A1;MEDAG;THBS1;COL1A2;NNMT;GEM;MGP;SPARC;TIMP1;MFAP5;MIR4435-2HG;HAS2;LUM;SERPING1;ELOC;S100A13;C1S;FBLN1;C1R;MMP2;LGALS1;EFEMP1;TNFAIP6;COL1A1;PTGDS;FSTL1;APOD;EIF1B;DNAJA1;CCDC80;RND3;UAP1;MT1A;SPARCL1;ZFP36L1;CFD;IL6;OGN;FOSB;NR4A3;TIMP2;VCAN;ZFP36;SUB1;COL6A2;UBE2D3;HSPD1;ANXA1	CL:0000499	stromal cell	CL:0002552 fibroblast of gingiva | CL:0002088 interstitial cell of Cajal | CL:0000864 tissue-resident macrophage | CL:0008019 mesenchymal cell | CL:0000865 gastrointestinal tract (lamina propria) macrophage			
Goblet cell	3411	GMDS;FUT8;GPRC5A;ELF3;PPARG;RAB11FIP1;SLC4A4;FUT9;SAMD12;JUN;PIK3C2G;NEDD4L;CCSER1;NLGN1;MECOM;LINC00511;NDRG1;LPP;FAR1;IMMP2L;DLGAP1;PTPRK;MUC5AC;SYNE2;LINC00486;SLC12A2;RORA;MUC6;CLDN18;LDLR;CHRM3;MYO10;SSH2;CUX1;LYZ;PUM1;FHIT;EXT1;ATP8B1;IGF2BP2;H19;PRKCI;PARD3;LGR4;KIAA1217;CSGALNACT1;ACTN4;LARGE1;SQSTM1;IGF2BP3	CL:0000160	goblet cell	CL:0002204 tuft cell | CL:0000160 goblet cell | CL:0002179 foveolar cell of stomach | CL:0000677 gut absorptive cell | CL:0000584 enterocyte			
Pit cell	2374	PIGR;LYZ;MUC6;RPL28;RPL5;RNASE1;RPL10A;MUC1;ANXA10;S100P;EEF1D;HNRNPA1;ADH1C;LCN2;RPS24;NEAT1;EEF2;SERPINB1;RPS21;RPL36;RPS7;GOLM1;KRT8;IFI27;MUC5AC;RPS8;RACK1;AGR2;LGALS3;RPL27;RPS9;CD63;TFF2;RPS11;GNAS;CTSE;TSPO;RPL23;RPS15A;RPS4X;CLDN18;REG1A;RPS13;FMOD;RPS2;CA9;FXYD3;RPS10;RPL35A;RPL19			CL:0002181 mucous neck cell of gastric gland | CL:0000152 exocrine cell | CL:0002180 mucous cell of stomach | CL:0000319 mucus secreting cell | CL:0000034 stem cell			
Fundic gland	2172	ESRRG;FGD4;IGFBP5;SIK2;ARHGEF28;RAP1GAP2;B4GALNT3;AHCYL2;GREM2;STARD10;CLIC6;FAM13A;GCNT2;RBM47;BMPR1B;LIFR;COBLL1;NFE2L2;GPHN;LINC00486;LARGE1;CDK6;BAIAP2L1;PARD3B;PSD3;DPP10;ACTN4;HPCAL1;MAP4K3;ATP4A;EPB41L1;EZR;FHIT;CCSER1;ACSL3;LRIG1;GPR155;MECOM;GATA6;WWOX;ZNF292;TMBIM6;TTTY14;TMPRSS2;NDRG1;PRDM16-DT;FOXN3;EEPD1;CPM;CLDN18			CL:0000162 parietal cell | CL:0000094 granulocyte | CL:0000775 neutrophil | CL:0002088 interstitial cell of Cajal | CL:0002204 tuft cell			
Myeloid cell	1121	S100A9;ELOC;TNFAIP6;MAP1LC3B;EIF1B;SH3BGRL3;SOD2;PTGS2;G0S2;NT5C3A;SUB1;CFD;NOP10;UBE2D3;NAMPT;THBS1;GEM;ZFP36;IFITM2;TAGLN2;SRGN;S100A4;GSN;MFAP5;DNAJA1;DDX5;PFDN5;S100A12;YWHAZ;CD55;HSPA8;S100A8;FCER1G;PRDX1;DPT;SNRPG;TMBIM6;RHOA;HNRNPA2B1;IGFBP6;TOMM7;UBL5;ATP5MD;EMP3;LDHA;UQCRB;EIF4G2;PFN1;UAP1;OST4	CL:0000763	myeloid cell	CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000576 monocyte | CL:0011026 progenitor cell | CL:0000081 blood cell			
Chromaffin cell	657	HECA;LHX5-AS1;MAOB;KLK11;SLC18A2;GFRA3;EPCAM;CCKBR;PKIB;MS4A7;ERO1B;CHGB;SERPINB6;AZGP1;CLPS;CLDN10;QDPR;GPR160;ACSL1;CIRBP;SGCG;DEPP1;CHGA;EIF4A2;LHX5;HMGN3;ERP27;CALM1;C4orf48;ELAPOR1;H3-3B;FLNB;PCSK1N;PFDN5;ARID4A;HEPACAM2;CNBP;PFN2;MT1F;RBPJL;PEBP1;IFI6;KCTD12;PPDPF;FXYD3;SELENOW;RPS4X;PARVB;SEZ6L2;DNASE1	CL:0000166	chromaffin cell	CL:0000165 neuroendocrine cell | CL:0000029 neural crest derived neuron | CL:0000577 type EC enteroendocrine cell | CL:0000527 efferent neuron | CL:0000540 neuron			
Neuron	550	LINC00682;TUBA1A;UCHL1;MLLT11;STMN1;TUBB2A;CRABP1;CALM2;SOX4;STMN2;BEX3;TBCB;NREP;YWHAB;DYNC1I2;PSMA7;SUMO2;TUBB2B;HNRNPC;HSBP1;DYNLL1;HMGB1;ELOB;MORF4L1;RAN;YWHAE;SNRPD2;AP1S2;TUBA1B;STMN4;SNRPE;SRP14;NACA;SRP9;HNRNPK;SKP1;UQCRH;CBX3;SNRPB2;BTN3A3;SON;S100B;GABARAPL2;YWHAZ;PPIA;BEX1;H2AZ1;HNRNPA2B1;SELENOW;MDK	CL:0000540	neuron	CL:2000032 peripheral nervous system neuron | CL:0000540 neuron | CL:0002319 neural cell | CL:0007011 enteric neuron | CL:0000125 glial cell			
