# Testis -- 16 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Spermatid	23941	BOD1L2;CATSPERZ;CRISP2;CMTM2;TEX38;NUPR2;PGK2;C1orf194;UBL4B;TSSK2;SMCP;TPPP2;C16orf82;SPTY2D1OS;AQP5;C10orf62;GAPDHS;CABYR;PROCA1;SPATA42;PCYT2;LINC01191;ACSBG2;TSSK6;ACTRT2;BPIFA3;DNAJB8;IZUMO4;C11orf71;SPATA3;CABS1;SH3RF2;CCDC196;LELP1;SMKR1;HMGB4;H1-7;AKAP4;TCP11;CCDC37-DT;TMCO5A;ACTL7A;GTSF1L;TEX44;DKKL1;OAZ3;TSPAN16;TMEM239;UBQLN3;FAM229A	CL:0000018	spermatid			
Leydig cell	22472	PRRX1;MIR99AHG;MEG8;PLAGL1;FLRT2;INHBA;ABCA8;EGFR;COL6A3;SIN3B;SNED1;ARX;LAMA2;PDGFRA;CXCL10;LTBP2;MRC2;LAMA4;SEC31A;MIR503HG;PODN;FBN1;FGFR1;NFIX;SPART;CDH11;NID1;LHX9;NEGR1;CFH;SMARCA1;VGLL3;SFRP1;LAMP2;ECHDC2;PTCH1;SLF2;KCNQ1OT1;TGFBR3;CHD9;RORA;GLG1;POR;DDR2;GOLGB1;RBMS3;HSPB6;SH3PXD2A;SSR3;ABLIM1	CL:0000178	Leydig cell			
Sertoli cell	19881	GATM;INHA;CLDN11;CITED1;INHBB;SOX9;BEX1;G6PD;FSCN1;WIPF3;GADD45G;HMGN5;FDXR;SUSD3;FATE1;BEX2;ABRACL;MBOAT7;MSI2;CTSV;PPM1K;NKX3-1;CADM1;SLC22A5;PLXNC1;REEP1;PPIF;ARAP2;TCEAL5;PABPN1;SPOCK2;AFF4;NCOA2;ARHGEF10;SERPINA5;TCEAL2;DCBLD2;FHOD3;PLEKHH2;GNG7;MBNL3;SEMA7A;CHPF;IFI27L1;AMH;RIMS4;PLA2G12A;TMEM97;TANC2;DAG1	CL:0000216	Sertoli cell			
Spermatogonia	10575	TSTD1;TMEM97;TIMM8B;LRPPRC;FAM98A;MRPL16;IFI27L1;MYL6B;HIGD2A;BLOC1S1;GTF2I;SMIM1;TMEM141;ECH1;RBBP4;NDUFC1;HADHB;GALNT1;ADNP;PSMA2;CDH2;SERINC5;EP300;PPP1R14B;HUWE1;C4orf48;GAS6;BEX4;TCEAL2;TNNI3;TRAPPC1;FBXO21;ZNF518A;USP7;PRRC2A;VPS35;CHCHD1;ERG28;GMPR;CTSV;ZNF516;CFDP1;NSA2;VGLL4;DMAC1;FAM200B;CBX5;LLPH;HLTF;C1orf122	CL:0000020	spermatogonium			
Endothelial cell	9338	LCN6;PCAT19;PECAM1;CCL14;S1PR1;PDGFB;SHANK3;FLT1;ADCY4;AQP1;DOCK9;IFITM1;MRTFB;BMPR2;OSMR;PLSCR4;FRYL;TMOD3;PIK3C2A;TRIM56;F8;LEPR;CPLX1;CCDC50;F11R;ITPRID2;SLC39A14;MCTP1;SASH1;PREX2;HIPK3;WWTR1;TIE1;MECOM;NCOA7;EXOC6;SHE;FAM241A;ECE1;PPP3CA;HERC2;ITGA5;PLSCR1;HOMER2;CDH5;HDGFL3;FCN3;PTPRB;AAK1;ABCC4	CL:0000115	endothelial cell			
Primary spermatocyte	8647	VCX3A;TEX101;HORMAD1;MEIOB;C5orf47;KRBOX1;SYCP2;H2AC1;RAD51AP2;SYCE3;DAZL;ANKRD31;SYCP1;TOP2A;EXOC5;HID1;IQCB1;HDAC6;SYCP3;STAG3;TEX19;SUGP2;TRAFD1;PSMA8;TPTE;SFR1;LY6K;BRD8;RBM44;CCDC73;FLYWCH2;DPH7;MAJIN;CNTRL;VCX2;PRSS21;BEND2;SPESP1;SYCE1;GPAA1;RNF34;DMRTC2;CKAP5;SYCE2;TUBA3D;CHGB;TASOR2;IER3IP1;CRY1;RAB5IF	CL:0000656	primary spermatocyte			
Myoid cell	8420	COLEC11;APOD;GSTM5;SFRP4;PENK;FHL2;CLEC11A;DPEP1;PEMT;MMP23B;PTN;TMEM98;DPT;TCEAL1;PLTP;TAX1BP3;MFAP4;GCSH;FBLN5;AEBP1;KCNMB1;AK1;EFEMP2;AKR1C1;OSTC;VKORC1;LGALS3BP;OGN;COMT;CHGA;SYNGR1;FBLN2;PXMP2;PDLIM2;F10;EMC7;TMEM230;TCEAL3;CBR1;CTSK;GAMT;RARRES2;MORF4L2;LAMC3;RAB34;SMOC2;ATP6AP2;IGF1;CRISPLD2;ANXA7	CL:0002481	peritubular myoid cell			
Spermatogonial stem cell	6766	RHOXF1;SOHLH1;ESX1;MIIP;CENPF;TAF6;SRP72;GET3;PAFAH1B3;RABGGTA;CPVL;TRAPPC2L;NOC4L;AP1S1;FAM174C;PTRHD1;MCRS1;MATR3;C1QTNF4;CCNB1;SSRP1;ALKAL2;QDPR;MCUR1;RIOK1;THYN1;UXS1;MFAP1;PLPP2;CDK11A;NOP56;PDCD2;SMARCA4;NEIL2;BARD1;CDC5L;NELFCD;AK5;RYK;TRAPPC4;TSR3;HSP90B2P;TFDP2;TMEM183A;KARS1;UROS;SPATS2;PPFIA1;RALA;WDR61	CL:0000034	stem cell			
Smooth muscle cell	4760	MUSTN1;DBNDD2;EPS8;GPX3;CPM;CARMN;TBX2-AS1;MAP3K20;EFHD1;GJD3;RGS5;NRGN;FABP4;ADCY8;SLC7A2;CAMK2N1;RRAS;PACSIN2;PTEN;RBPMS;NEXN;GJA4;PRKG1;DLC1;LDB3;RHOQ;JAG1;C1QTNF1;IRAG1;TNFSF12;CSPG4;MPRIP;TLN1;SORT1;ARHGEF17;TNS1;FKBP5;GUCY1B1;PPP1CB;SUN2;MYO1E;EPHB6;SMIM3;PDK4;EHD2;LINC00702;MEF2D;NR2F2-AS1;INPP4B;SERPING1	CL:0000192	smooth muscle cell			
Erythrocyte	3550	CA4;MIR24-2;GADD45A;C2CD4B;SLC2A3;IFIT3;ID2;ECSCR;KLF4;CRHBP;DDIT4;IFI44L;PLK3;IER5;STING1;EPB41L4A-AS1;PLK2;CXXC1;ISG15;MX1;CXCL2;FDPS;CD320;CFAP20;IRF9;IL32;RAMP2;THBD;CAVIN2;HRNR;RAMP3;VAMP5;AP1S2;ANXA1;ITGA10;SOCS2;CHMP4B;GPIHBP1;SNHG8;RTF2;IGF2;NBEAL1;NECAP2;C14orf119;HSD17B11;TSPAN4;PSMB8;PSMB9;TMEM204;PSME2	CL:0000232	erythrocyte			
