# Uterine_tube -- 14 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Myofibroblast	14053	TSKU;IGFBP3;TMEM176A;NBL1;MEG8;PGR;TMEM176B;FGFR1;MEG3;THY1;F10;TWIST2;NOVA1;SFRP4;OAT;GSTM5;ANK2;PDGFRL;THBS2;MPZL1;GPRC5A;DPT;HELLPAR;NDN;RCN3;LTBP4;GSTM3;S1PR2;SPON2;CNTN1;BIN1;TSPYL2;GFPT2;RASD1;NPPC;VEGFA;EGFR;CXCL12;ARHGAP21;TIPARP;SLC19A2;SFRP1;LTBP1;PCOLCE;ECM2;MFAP4;FGF7;PRRX1;SH3PXD2A;SLIT2	CL:0000186	myofibroblast cell			
Secretory epithelial cell	13618	TTYH1;MSLN;LYPD1;DAPL1;PDZK1IP1;SCGB3A1;KCNK15;ASS1;S100A11P1;KLK6;SNHG19;KLK11;AHCY;S100A1;CCNG1;SCARA3;NPR1;MRPL3;MGST1;CLDN10;HMGA1;BEX2;KLK8;KLK10;CCNB1IP1;ANXA3;PAX8;TCEA3;C19orf48;CRTAC1;GCSH;IMPDH2;MRPS2;ERCC2;KRT7;VTCN1;ABHD14B;DOK5;IL4I1;IGBP1;LAPTM4B;SPINT1;TATDN1;PGA5;BAX;FGGY;TACSTD2;CLNS1A;ZC3H12A;BBC3	CL:1100001	secretory epithelial cell			
T cell	7858	CD3E;CD2;TRBC2;CD3D;CCL5;CD7;TRAC;IL7R;CD96;KLRB1;CD3G;SPOCK2;LINC01871;IL32;TRBC1;CNOT6L;PARP8;LEPROTL1;RUNX3;BCL11B;PTPN22;CRYBG1;CD247;OXNAD1;SH2D2A;GZMM;CD8A;NKG7;CXCR4;CLEC2D;CD52;LTB;PPP2R5C;GPR171;RNF125;PIK3IP1;ITK;CST7;CTSW;LCK;GZMA;STAT4;PIK3R1;SOCS1;PRF1;HOPX;KLRK1;ICOS;PTGER4;EML4	CL:0000084	T cell			
Macrophage	4624	MS4A4A;CYBB;IFI30;CLEC7A;MPEG1;ACSL1;NLRP3;MS4A6A;CD14;CSF1R;CD68;SPI1;C3AR1;CD86;TLR2;FCGR2A;ITGB2;DSE;PLEK;CCL3;ARRB2;LCP2;PHACTR1;IGSF6;CD163;C5AR1;TGFBI;LILRB2;MSR1;CALHM6;MNDA;CD4;NCF2;ATP2B1-AS1;TET2;HCK;SLC15A3;AIF1;LUCAT1;RNASE6;TPP1;OLR1;SLC11A1;CD300E;MXD1;PILRA;MFSD1;PFKFB3;GNA13;TNFSF13B	CL:0000235	macrophage			
Endothelial cell	4403	VWF;AQP1;ACKR1;FAM110D;FLT1;PLVAP;PIK3R3;CYYR1;NOSTRIN;SELE;ADGRL4;LIFR;SOX18;MMRN2;TSPAN7;CD34;LEPR;TMEM88;ENG;CLEC14A;ADAM15;BMPR2;JAM2;ABCB1;RND1;OLFM1;ABCG2;LCN6;SLCO2A1;ADGRG1;HSPG2;ITM2A;ENPP2;INHBB;IL3RA;CSF3;RAMP3;ZNF385D;SWAP70;SNAI1;LRRC32;ADM5;IFI27;PSMB9;SPRY1;SOX17;NES;ESAM;HEG1;SPNS2	CL:0000115	endothelial cell			
Smooth muscle cell	4382	ZCCHC12;TRDN;DES;TCEAL2;TCEAL1;SERTM1;BCHE;MMP23B;FBXO32;ATP2B4;TSPAN2;MRGPRF;SVIL;GRIA2;HSPB8;ALDH1B1;TNFAIP8L3;MEIS3P1;NCAM1;BAG2;RGS5;PPM1K;RGS9;CMYA5;AMIGO2;BOC;PSD;TCEAL3;PKDCC;PDE10A;SPEG;GFRA1;CES1;LGI2;CTPS1;SORBS1;LONP1;DENND2B;SDC2;SLMAP;RERG;GUCY1A2;TTLL7;CPQ;CFL2;PDE1C;SAMD11;C20orf27;AOPEP;DMD	CL:0000192	smooth muscle cell			
Fibroblast	3152	APCDD1;LAMB1;ADH1B;ADAMTS5;GAS1;PLEKHH2;LRRC17;SRPX;DEPP1;PODN;WDR86;MMP14;HOXA5;RARRES1;TCF12;CYBRD1;CLMP;DDIT3;ALDH1A2;CPXM1;LAMA2;MIR100HG;SLC39A6;HAND2;PDE8B;CACNA1D;WNT4;MEIS1;ADGRA2;HAND2-AS1;ABCA8;CYP1B1;ADM;SNED1;EBF1;ANTXR2;GNAI1;REV3L;RNASE4;IGSF10;COL5A2;SPON1;CITED2;PTGIS;SYNGR1;RUNX1T1;NID1;PDLIM2;EMILIN1;IDH1	CL:0000057	fibroblast			
Ciliated cell	2554	ZMYND10;ROPN1L;LRRIQ1;CCDC78;FOXJ1;RSPH1;LDLRAD1;CCDC39;TEKT2;TEKT1;CCDC153;EFCAB1;LRRC46;TUBA4B;CFAP157;LRRC23;C6orf118;C5orf49;CFAP53;C9orf24;CFAP45;FAM81B;PIFO;CAPSL;CEP126;CFAP126;C20orf85;C9orf135;ANKRD66;CDHR3;SNTN;SPAG17;ARMC3;MORN5;C11orf97;SPAG6;MNS1;HOATZ;DYNLRB2;LINC02345;CIBAR2;DNAH9;STK33;WDR38;ERICH3;PACRG;FAM183A;CCDC113;TTC25;RSPH4A	CL:0000064	ciliated cell			
Lymphatic endothelial cell	2399	CCL21;PROX1;MMRN1;TBX1;SLC24A1;VPS35L;RELN;EDNRB;COLEC12;LYVE1;BMP2;FLT4;PARD6G;RHOJ;FABP5P1;SEMA3D;EFNA5;LOX;GPM6A;PIEZO2;KBTBD11;LAYN;CHRDL1;PEPD;SEMA6A;FSCN1;IPO11;KLHL4;PDPN;GJC2;HOMER3;MRC1;PKHD1L1;TSPAN5;MAF;CREB5;F8;NTAN1;NFATC2;PALM;EPB41L2;SEMA3A;KCTD17;KANK3;PPFIBP1;AFAP1L1;PACSIN2;PRSS23;ANGPT2;ADGRG3	CL:0002138	endothelial cell of lymphatic vessel			
Pericyte	1992	RERGL;FRZB;NTRK2;MUSTN1;RCAN2;C1QTNF1;MT1A;NOTCH3;BGN;AVPR1A;ECRG4;MT1E;MT1M;PTP4A3;CASQ2;KCNAB1;CCDC3;FHL5;RASGRP2;EFHD1;GUCY1A1;WTIP;SMARCD3;NTRK3;NRGN;SORBS2;KCNA5;CPE;CAVIN3;SGCA;SNTA1;NOL3;RBPMS2;TMEM38B;ITGA7;AOC3;PDGFA;HEYL;GJA4;CH25H;MCAM;NIBAN1;TBC1D1;CSPG4;PPP1R14A;SERPINI1;FADS3;CASP9;SLIT1;NT5DC2	CL:0000669	pericyte			
Epithelial cell	1794	OVGP1;ALDOA;HLA-DRB5;CCN1;PTP4A1;SCGB1D4;CCN2;GPX1;RN7SK;PAEP;MATR3;PSPHP1;DEFB1;SERPINA3;UGT2B7;EDN1;CKS2;BRD2;ERRFI1;SCGB1D2;SCGB2A1;MMP7;IFITM1;CITED2;HEXIM1;CXXC1;RPSAP58;GAS5;HSPH1;TOB1;DNAJB1;ID2;HLA-DQA1;CP;OBP2A;SNHG1;OMG;RPLP0P6;FKBP2;MGST1;EEF1B2P3;ABO;SGK1;CLK1;CACYBP;GATD3A;CCL3L3;TXNP6;NXF1;HSPA1B	CL:0000066	epithelial cell			
Stromal cell	1754	CXCL10;CCN1;RN7SK;DPT;ADH1B;ID2;LUM;CXCL12;APOD;VTRNA2-1;CITED2;IGFBP3;TCEAL7;RGS2;DNAJB1;GATD3A;FBLN5;HEXIM1;CFD;TCEAL9;IFITM1;ABCA9;GAS5;HSPA1B;CYBRD1;BRD2;PDGFRL;HSPH1;HSPE1P2;FMO4;ALDH1A1;TXNIP;CCL2;GSTM3;ADM;SERPING1;GPX1;OGN;ALDOA;CACYBP;CCDC80;ECM2;MATR3;NXF1;HSPA6;HSD17B11;ABCA8;ABCA10;CCN2;FTLP3	CL:0000499	stromal cell			
Mast cell	1732	TPSAB1;TPSB2;CPA4;IL1RL1;MS4A1;KIT;HPGDS;RHEX;SLC18A2;VWA5A;BATF;HPGD;CALB2;CTNNBL1;HECA;GATA2;RAB27B;RGS18;TPSD1;SIGLEC6;ACSL4;LEO1;SLC26A2;NSMCE1-DT;ALOX5AP;ANKRD9;GPR65;HECW2-AS1;TNIK;CPM;PTGS1;ALOX5;GALC;PNMT;TSEN54;RAC2;ALAS1;SMIM1;ARHGEF6;PHF20;MSRA;GCSAML;FCER1A;CSF1;ARHGAP25;MLPH;IDS;ELOVL5;ADRB2;GABPAP	CL:0000097	mast cell			
B cell	706	MZB1;CD79A;JCHAIN;FCRL5;DERL3;GNG7;IGHA1;TNFRSF17;SPAG4;CD27;TNFRSF13B;IGLC2;SEL1L3;MEI1;SLAMF7;POU2AF1;PIM2;TNFRSF18;SDC1;IGLC1;CD38;HSH2D;AMPD1;FKBP11;LINC02362;RAB30;IGHA2;TPD52;ICAM3;C16orf74;MANEA;SRPRB;CLPTM1L;TP53INP1;TNFRSF4;DNAJC1;LIME1;NUGGC;HSPA13;IGKC;SEL1L;CRELD2;EIF2AK4;COBLL1;TXNDC5;A1BG;CARMIL1;HYOU1;RALGPS2;CCDC167	CL:0000236	B cell			
