# Uterus -- 15 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being
# tested. The pipeline's own ranking is not shown here, for the same reason.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	GOLD_CURIE	GOLD_NAME	NOTE
Stromal cell	26449	HAND2-AS1;KCNQ1OT1;GABPB1-AS1;EPB41L4A-AS1;QPRT;PGR;PTK7;HNRNPA1L2;PLEKHA5;PTCH1;ECM1;SFRP1;TCF12;PRRX1;GDF7;PGRMC1;HOXA10;GCC2;COL5A1;COL5A2;CDH11;SFRP4;PTN;MMP11;ESR1;CHD4;TUT4;HOXA11;EVA1B;SUPT16H;PCDH18;BPTF;PTPRS;SAMD11;MIR570HG;USP22;PRKDC;HNRNPR;LMO4;CRABP2;CLUAP1;ZC3H13;HIC1;NR2F2-AS1;CDCA7;CBX1;TBX3;DHX36;LUC7L3;SSBP4	CL:0000499	stromal cell			
NK cell	17067	AREG;KLRC4-KLRK1;KLRK1;TNFRSF18;KLRC1;XCL2;STAG3;B3GNT7;XCL1;PVRIG;KLRC3;CMC1;KRT81;PRF1;CTSW;PTPRCAP;IL2RB;TMIGD2;KRT86;GZMB;KLRD1;SPINK2;HOPX;CD7;ADGRE5;FGR;CST7;CCND3;TESC;ITGAD;KLRB1;C21orf62;ARF6;RGPD5;PRMT9;GZMA;GNPTAB;HSH2D;BGLAP;TENT5C;SAMD3;NCAM1;TSTD1;PRKX;CD96;COLEC12;PRSS27;DOK2;DUSP10;NDFIP2	CL:0000623	natural killer cell			
Basal decidual cell	11964	IL15;C3;MAOB;GAS1;FBLN2;PLA2G2A;ULK4;PRPS2;TMEM37;SPOCK1;PLAC9P1;SCARA5;GSTT1;CPZ;DYNC2LI1;DKK1;GPR78;ALDH1A3;OMD;EVA1C;FBLN5;ASS1;COLEC11;AHCY;ANGPTL1;GPBAR1;CYP4B1;IRS2;HTR2B;CHPF;CNTN1;ZNF330;ST3GAL5;CITED2;WT1;FUCA2;DNPH1;FKBP7;TPST1;MLPH;MAPKAP1;ARL4D;C2;CHST2;FOXO1;EMILIN2;TSKU;RORB;ABHD14B;QARS1	CL:2000002	decidual cell			
Fibroblast	10731	EMX2;TCEAL7;CXCL12;KLF10;HSPH1;IER5L;DNAJB1;TLE4;MIDEAS;NREP;COL27A1;GADD45G;PBX1;MIR503HG;TPBG;DENND2B;ATP1B1;ATXN1;H4C3;BCLAF1;ZNF516;TMEM158;SPON1;ACBD3;CREB5;WNT5A;DIO2;H19;FAM133B;MEG3;TBX3;LEFTY2;SLC5A3;PCSK5;CAMK2N1;MLLT11;TMEM263;ISOC1;TNRC6B;DDIT3;COL7A1;KAT6B;CCND2;CKAP4;PDS5B;EPC1;KDM5B;ESR1;CTXN1;RBFOX2	CL:0000057	fibroblast			
Endothelial cell	10135	ENPP2;LIFR;ACKR1;AQP1;LCN6;NPDC1;FAM107A;CYYR1;CD93;TSPAN7;ESAM;PLVAP;PCAT19;PLK2;IFI27;ITM2A;SLCO2A1;MMRN2;LEPR;FAM167B;JAM2;SLC2A3;NUAK1;SH3BP5;TMEM88;FAM110D;PCDH17;BMPR2;KLF2;RAMP3;NOTCH4;NOSTRIN;ARRDC3;SNHG7;ITPRID2;NEDD9;ADGRL4;SWAP70;ADAM15;TSPAN13;PIK3C2A;HEG1;ICAM1;PIK3R3;HSPG2;LMCD1;IL33;CMIP;TJP1;SLC9A3R2	CL:0009095	endothelial cell of uterus			
Macrophage	8308	CCL3L1;CCL4L1;FOLR2;IFI30;CXXC1;CCL4L2;TNFSF13;STAB1;TNFSF12-TNFSF13;FCGR3A;F13A1;TREM2;MGAT4A;LTC4S;SLC40A1;RUNX1;CXCL3;S100A8;PLTP;VSIG4;CCL3L3;C1QB;LGMN;LPAR6;COLEC12;C1QC;C15orf48;MAN2B1;HMOX1;EREG;MAF;C1QA;FCGR1A;GPR183;TNF;CLEC7A;MSR1;MAP3K8;SLCO2B1;IFI44L;PLAUR;FCGR2A;TMEM176B;IL1B;IER5;RNASEK;SGK1;IL1RN;OTUD1;FBXO48	CL:0000235	macrophage			
Pericyte	6449	MCAM;CCN1;NET1;PTP4A3;FILIP1L;PPP1R12B;CARMN;HIGD1B;LGI4;TPPP3;RGS5;KLHL23;GUCY1A1;SYNPO2;FXYD1;RERG;CPM;NEXN;MAP7D3;CBX6;GUCY1B1;GJD3;MRGPRF;SNHG9;IRAG1;COX4I2;NDRG2;TBX2-AS1;PDLIM3;ISYNA1;CDH6;DEPP1;TMEM38B;PLS3;PTEN;EBF1;MAP3K7CL;PTK2;KCNN4;NUDT4;PACSIN2;DYNC1I2;EMX2;FILIP1;EPS8;BCLAF1;GAS6;H4C3;CWF19L2;HSPA1B	CL:0000669	pericyte			
Smooth muscle cell	6124	PCP4;DES;ATP1B1;ACTG2;TSPAN2;COL12A1;INSIG1;SMOC2;ASPN;GREM1;RSPO3;KCNMA1;ATP2B4;UBL3;KCNMB1;DENND2B;PTP4A1;HSPB8;ITPKB;EMX2;PPP1R12B;KLF10;SVIL;TXNRD1;SLMAP;HEXIM1;PDLIM3;LRIG1;FRMD6;ERRFI1;MYLK;SYNPO2;RERE;CARMN;DPP6;RERG;CXCL1;PAWR;RAP2C;CHRDL1;STK26;FHL2;ITGA11;CDC42EP3;SEMA3C;GEM;PRELP;SLC25A21;MRGPRF;THBS1	CL:0002601	uterine smooth muscle cell			
Epithelial cell	4247	SLPI;CLDN3;SCGB2A1;ELF3;DEFB1;WFDC2;EPCAM;PIGR;LINC01541;SMIM22;FXYD3;GABRP;CP;TACSTD2;CLDN4;RHEX;PAX8;RIMKLB;ASRGL1;PERP;CADPS;EHF;MSX1;C19orf33;CD24;TSPAN1;MUC1;PAPSS1;FZR1;AGR2;RASD1;S100A1;LINC01320;CXCL14;EZR;DLX5;MAL2;HOMER2;SLC34A2;DMKN;SPINT1;SH3YL1;USP53;CLDN7;C2orf88;SERINC2;DSP;TMEM101;HOXB6;ABHD11	CL:0000066	epithelial cell			
T cell	3075	CD3D;TRAC;IL7R;CD3G;CXCR4;SPOCK2;LCK;IL32;LTB;CD2;ISG20;TRBC1;CYTIP;LEPROTL1;RHOH;CLEC2D;TRBC2;CD3E;TNFAIP3;CD69;ICOS;BCL11B;CD27;IDS;TUBA4A;PIK3IP1;PTGER4;RGCC;LIME1;LINC00869;G3BP2;EML4;CDC42SE2;GZMK;PPP2R5C;LINC02591;SMCHD1;DUSP4;YPEL5;CD48;FLT3LG;SEPTIN1;MGAT4A;IL2RG;LIMD2;STK17B;TRAT1;CD6;CD52;GNG2	CL:0000084	T cell			
Uterine perivascular cell	2633	HBG2;HBA2;HBA1;KCTD11;SYS1-DBNDD2;DBNDD2;OLFML2B;HBG1;TCIM;PTMAP5;HSPA2;PAEP;IRF9;RPS6KA5;NMNAT3;OAZ2;SBF2;IGFBP1;SPATS2L;HSD17B11;ABCB11;GEMIN8;ANKRD10;LHFPL6;ZZEF1;ATP9B;ANK2;SLC16A7;PTP4A1;PPM1K;ZNF526;RNASEK;CDK2AP2;ISG20L2;DUXAP10;LZTS1;MRGPRF;LRRC58;B3GNT2;DUSP14;GAS6;NAPSA;TSC2;DUOX2;MFSD4B;POMGNT1;PIGN;RFFL;ENTPD4;CMPK1	CL:4033054	perivascular cell			
ILC	1636	TRDC;SKAP1;SLFN5;SYNRG;ABHD17A;RBL2;TRAF3IP3;FYN;AKNA;TBC1D10C;MAP2K2;NAP1L4;ICAM3;AAK1;MAZ;PDE7A;RAB8B;SLC9A3R1;STK4;PYHIN1;SEPSECS;CHMP4A;ITGAL;CDC42SE1;ARHGEF1;C9orf78;HLA-F;ARAP2;PTPN4;DEAF1;PAXX;MAPK1;TXK;OSTF1;PIK3R1;SEMA4D;UBALD2;GRK2;EPC1;PLCG2;TRG-AS1;OGT;PTPN7;RESF1;CCND2;H4C3;TGFB1;RASAL3;RASGRP1;POLR2J3	CL:0001065	innate lymphoid cell			
Trophoblast cell	1176	NOTUM;XAGE2;HPGD;ISM2;S100P;SERPINE2;PAPPA2;CSH1;EBI3;CLIC3;HMGB3;KRT7;FSTL3;MFAP5;QSOX1;XAGE3;JPT1;LVRN;ASPSCR1;ADAM12;ABCA7;NOG;PTPRF;PTGES;CSF2RB;LGALS13;ASCL2;AOC1;GDF15;PRG2;FLT1;IL1RAP;KRT8;ARID3A;VGLL3;CCNE1;HTRA4;CDKN1C;ADAM19;AIF1L;PSG2;SLC2A1;CORO6;PRSS8;CENPX;DOCK5;ADM;HSD3B1;IL1R2;PYCR1	CL:0000351	trophoblast cell			
Conventional dendritic cell	784	NAPSB;DNASE1L3;WFDC21P;CLEC9A;IDO1;BTK;IRF8;S100B;NAAA;IGFLR1;LILRA2;BATF3;WDFY4;NABP1;ELAPOR1;CYSLTR1;P2RY6;CLNK;FBXO48;SEMA3E;RAB4B;TARBP1;LIMD2;DSG3;RRP7BP;SEPTIN6;HMCN2;MAP2K6;GDPD1;ICA1L;FBXO27;CIITA;MARCHF1;LRRC7;PCLAF;CRX;C1orf54;SP110;BEND7;TADA2A;SLC35E2B;ACER3;ABCB11;CYB561A3;C2orf68;FEM1C;SMCO4;LDLRAD4;ZNF605;MTHFD1	CL:0000990	conventional dendritic cell			
Myeloid cell	534	HLA-DMA;HLA-DPA1;HLA-DQA2;HLA-DQB1;ATP2B1-AS1;LST1;HLA-DRA;HLA-DMB;LILRB4;HLA-DPB1;HLA-DQA1;IGSF6;CCR1;SAMHD1;HLA-DRB5;LAIR1;TNFRSF1B;ADA2;TNFSF13B;RNF130;ADAP2;UNC93B1;GRB2;CD4;TPP1;CYBB;CREG1;HLA-DRB1;RHOG;CD84;MYO1F;CNPY3;THEMIS2;TGFBI;SYK;PLEK;IL18;POU2F2;NCKAP1L;USF2;MNDA;FGL2;PHACTR1;CXCL16;CALHM6;MOB1A;MPEG1;C3AR1;TBXAS1;NCF2	CL:0000763	myeloid cell			
