organ	cells	types_annotated	types_retained	types_mapped	types_ge500	cells_dropped_catchall	ref_CL_terms_ge100
Heart	1933545	53	48	48	37	16883	88
deep_Heart	1933545	53	48	0	37	16883	0
Lung	1329943	47	45	45	39	708	246
deep_Lung	1329943	47	45	0	39	708	0
Blood	1146205	39	29	29	24	2597	150
deep_Blood	1146205	39	29	0	24	2597	0
Spinal_cord	961284	25	24	24	20	395	40
Bone_marrow	641619	51	44	44	37	7060	134
deep_Bone_marrow	641619	51	44	0	37	7060	0
Skin	562771	73	64	64	48	1013	131
deep_Skin	562771	73	64	0	48	1013	0
Liver	496787	27	26	26	25	89	146
deep_Liver	496787	27	26	0	25	89	0
Intestine	465681	30	25	25	20	989	103
deep_Intestine	465681	30	25	0	20	989	0
Adrenal_gland	433157	14	12	12	12	315837	65
Spleen	424260	75	61	61	45	7291	112
deep_Spleen	424260	75	61	0	45	7291	0
Kidney	252502	71	51	51	30	17889	142
deep_Kidney	252502	71	51	0	30	17889	0
Thymus	246294	79	50	0	30	660	0
deep_Thymus	246294	79	50	0	30	660	0
Brain	214057	18	16	16	13	13562	193
deep_Brain	214057	18	16	0	13	13562	0
Prostate	170652	23	18	18	12	6427	74
deep_Prostate	170652	23	18	0	12	6427	0
Eye	159337	16	15	15	13	245	129
deep_Eye	159337	16	15	0	13	245	0
Bronchi	144812	42	36	36	21	0	246
deep_Bronchi	144812	42	36	0	21	0	0
Testis	131924	23	22	22	16	793	18
deep_Testis	131924	23	22	0	16	793	0
Adipose	129919	20	19	19	13	15	62
deep_Adipose	129919	20	19	0	13	15	0
Pancreas	121161	35	34	34	22	786	65
deep_Pancreas	121161	35	34	0	22	786	0
Lymph_node	117047	52	36	36	19	0	124
deep_Lymph_node	117047	52	36	0	19	0	0
Uterus	111954	18	17	17	15	0	71
deep_Uterus	111954	18	17	0	15	0	0
Muscle	110873	36	30	30	23	1182	102
deep_Muscle	110873	36	30	0	23	1182	0
Oesophagus	96397	11	11	11	6	0	81
deep_Oesophagus	96397	11	11	0	6	0	0
Trachea	72352	30	23	0	13	302	0
Uterine_tube	65202	15	15	15	14	0	35
deep_Uterine_tube	65202	15	15	0	14	0	0
Ureter	43061	15	11	11	9	45	21
Bladder	35162	21	19	19	12	1938	30
deep_Bladder	35162	21	19	0	12	1938	0
Stomach	32952	32	30	30	11	913	127
deep_Stomach	32952	32	30	0	11	913	0
Oral_cavity	30667	14	12	0	7	2105	0
Salivary_gland	26959	22	20	20	9	2090	81
deep_Salivary_gland	26959	22	20	0	9	2090	0
Pleura	19695	7	7	7	6	0	16
Nose	17868	17	9	9	4	0	84
deep_Nose	17868	17	9	0	4	0	0
Gallbladder	17045	10	10	10	6	0	10
Ovary	15307	14	13	13	8	378	46
deep_Ovary	15307	14	13	0	8	378	0
Vessel	11934	13	11	11	3	0	52
Breast	11227	13	9	9	3	0	102
deep_Breast	11227	13	9	0	3	0	0
Placenta	9845	3	3	3	3	0	46
deep_Placenta	9845	3	3	0	3	0	0
Thyroid	8805	6	5	0	2	61	0
Femur	5834	8	7	7	2	0	134
Rib	4928	4	3	3	2	0	134
