panel	key	value
a	well-powered_cell_types	602
a	G1__exact_CL_identity	517
a	G2__not_contradicted	506
a	G3__evidenced,_better-scoring_subtype	205
a	G4__not_a_mixture	92
a	funnel_G1_no_exact_identity	85
a	funnel_G2_contradicted	11
a	funnel_G3_no_cl_subtype	49
a	funnel_G3_no_evidenced_subtype	184
a	funnel_G3_not_discriminated	68
a	funnel_G4_mixture	113
a	funnel_PROPOSED	205
a	funnel_pass_G1	517
a	funnel_pass_G2	506
a	funnel_pass_G4	92
a	funnel_well_powered	602
b	median_subtypes_existing	33
b	median_subtypes_supported	1
b	types_with_no_supported_subtype	191
b	types_assessed	491
c	proposals_total	205
c	sole_evidenced_subtype_no_margin	22
c	confident_margin_ge_1.30	92
c	gold_checked	42
c	gold_compatible	41
c	Lung|Vein endothelial cell -> vein endothelial cell of respiratory system	margin=999.000;confident=True;gold_compatible=None
c	Skin|Smooth muscle cell -> vascular associated smooth muscle cell	margin=999.000;confident=True;gold_compatible=None
c	Uterine_tube|Secretory epithelial cell -> fallopian tube secretory epithelial cell	margin=999.000;confident=True;gold_compatible=None
c	Liver|Conventional dendritic cell 2 -> myeloid dendritic cell	margin=999.000;confident=True;gold_compatible=True
c	Bronchi|Myofibroblast -> secondary crest myofibroblast	margin=999.000;confident=True;gold_compatible=None
c	Bronchi|Vein endothelial cell -> vein endothelial cell of respiratory system	margin=999.000;confident=True;gold_compatible=None
c	Gallbladder|Stromal cell -> fibroblast	margin=999.000;confident=True;gold_compatible=None
c	Placenta|Epithelial cell -> glandular epithelial cell	margin=999.000;confident=True;gold_compatible=None
c	Placenta|Macrophage -> Hofbauer cell	margin=999.000;confident=True;gold_compatible=None
c	Spleen|Helper T cell -> T follicular helper cell	margin=999.000;confident=True;gold_compatible=None
c	Intestine|Stromal cell -> fibroblast	margin=999.000;confident=True;gold_compatible=None
c	Kidney|Fibroblast -> kidney interstitial fibroblast	margin=999.000;confident=True;gold_compatible=None
c	Gallbladder|Epithelial cell -> goblet cell	margin=999.000;confident=True;gold_compatible=None
c	Intestine|Macrophage -> CL:4047053	margin=999.000;confident=True;gold_compatible=None
c	Uterine_tube|Stromal cell -> fibroblast	margin=999.000;confident=True;gold_compatible=None
c	Uterus|ILC -> natural killer cell	margin=999.000;confident=True;gold_compatible=None
c	Oesophagus|B cell -> immature B cell	margin=999.000;confident=True;gold_compatible=None
c	Salivary_gland|Helper T cell -> T follicular helper cell	margin=999.000;confident=True;gold_compatible=None
c	Prostate|CD8 T cell -> effector CD8-positive, alpha-beta T cell	margin=999.000;confident=True;gold_compatible=None
c	Bronchi|Lymphatic endothelial cell -> endothelial cell of respiratory system lymphatic vessel	margin=999.000;confident=True;gold_compatible=None
c	Intestine|Smooth muscle cell -> vascular associated smooth muscle cell	margin=999.000;confident=True;gold_compatible=None
c	Intestine|Dendritic cell -> conventional dendritic cell	margin=999.000;confident=True;gold_compatible=None
c	Spinal_cord|Progenitor cell -> oligodendrocyte precursor cell	margin=337.020;confident=True;gold_compatible=None
c	Blood|Plasmacytoid dendritic cell -> plasmacytoid dendritic cell, human	margin=203.026;confident=True;gold_compatible=True
c	Liver|Granulocyte -> neutrophil	margin=87.104;confident=True;gold_compatible=True
c	Blood|NK T cell -> activated type II NK T cell	margin=55.715;confident=True;gold_compatible=True
c	Salivary_gland|Ductal cell -> CL:4052048	margin=10.141;confident=True;gold_compatible=None
c	Skin|Endothelial cell -> blood vessel endothelial cell	margin=9.413;confident=True;gold_compatible=None
c	Pancreas|Lymphoid cell -> innate lymphoid cell	margin=6.105;confident=True;gold_compatible=True
c	Lung|NK cell -> CD16-positive, CD56-dim natural killer cell, human	margin=4.890;confident=True;gold_compatible=None
c	Kidney|Proximal convoluted tubule -> epithelial cell of proximal tubule segment 1	margin=4.223;confident=True;gold_compatible=None
c	Muscle|Vascular endothelial cell -> vein endothelial cell	margin=3.907;confident=True;gold_compatible=None
c	Femur|Granulocyte -> neutrophil	margin=3.414;confident=True;gold_compatible=None
c	Lung|Conventional dendritic cell -> mature conventional dendritic cell	margin=3.179;confident=True;gold_compatible=None
c	Brain|Granule cell -> cerebellar granule cell	margin=3.035;confident=True;gold_compatible=None
c	Lung|Basal cell -> airway submucosal gland duct basal cell	margin=2.916;confident=True;gold_compatible=None
c	Spleen|Lymphoid cell -> mature NK T cell	margin=2.807;confident=True;gold_compatible=None
c	Oesophagus|Myeloid cell -> monocyte	margin=2.606;confident=True;gold_compatible=None
c	Muscle|T cell -> naive T cell	margin=2.582;confident=True;gold_compatible=None
c	Spleen|ILC -> group 3 innate lymphoid cell	margin=2.479;confident=True;gold_compatible=None
c	Uterine_tube|Endothelial cell -> blood vessel endothelial cell	margin=2.325;confident=True;gold_compatible=None
c	Skin|CD8 T cell -> naive thymus-derived CD8-positive, alpha-beta T cell	margin=2.299;confident=True;gold_compatible=None
c	Muscle|Fibroblast -> fibroblast of the aortic adventitia	margin=2.228;confident=True;gold_compatible=None
c	Bone_marrow|NK cell -> CD16-positive, CD56-dim natural killer cell, human	margin=2.177;confident=True;gold_compatible=True
c	Pancreas|Fibroblast -> hepatic stellate cell	margin=1.894;confident=True;gold_compatible=True
c	Liver|T cell -> mature NK T cell	margin=1.886;confident=True;gold_compatible=True
c	Bone_marrow|Pre-B cell -> small pre-B-II cell	margin=1.793;confident=True;gold_compatible=True
c	Adrenal_gland|Lymphoid cell -> plasma cell	margin=1.791;confident=True;gold_compatible=None
c	Spleen|CD8 T cell -> activated CD8-positive, alpha-beta T cell	margin=1.761;confident=True;gold_compatible=None
c	Bladder|Endothelial cell -> vein endothelial cell	margin=1.730;confident=True;gold_compatible=None
c	Skin|Dendritic cell -> plasmacytoid dendritic cell, human	margin=1.705;confident=True;gold_compatible=None
c	Bone_marrow|Lymphoid cell -> precursor B cell	margin=1.690;confident=True;gold_compatible=True
c	Stomach|Neuron -> peripheral nervous system neuron	margin=1.627;confident=True;gold_compatible=None
c	Salivary_gland|Fibroblast -> fibroblast of lung	margin=1.611;confident=True;gold_compatible=None
c	Skin|Stromal cell -> skin fibroblast	margin=1.605;confident=True;gold_compatible=None
c	Adipose|Activated T cell -> memory T cell	margin=1.576;confident=True;gold_compatible=None
c	Lung|Epithelial progenitor cell -> respiratory hillock cell	margin=1.558;confident=True;gold_compatible=None
c	Prostate|Smooth muscle cell -> smooth muscle cell of prostate	margin=1.551;confident=True;gold_compatible=None
c	Skin|T cell -> activated CD8-positive, alpha-beta T cell	margin=1.533;confident=True;gold_compatible=None
c	Spleen|NK cell -> CD16-negative, CD56-bright natural killer cell, human	margin=1.531;confident=True;gold_compatible=None
c	Ovary|Epithelial cell -> ovarian surface epithelial cell	margin=1.527;confident=True;gold_compatible=None
c	Liver|Monocyte -> classical monocyte	margin=1.525;confident=True;gold_compatible=True
c	Spleen|Monocyte -> intermediate monocyte	margin=1.525;confident=True;gold_compatible=None
c	Pancreas|Endocrine cell -> pancreatic epsilon cell	margin=1.523;confident=True;gold_compatible=True
