panel	organ	label	n_cells	markers	asserted_lineage	evidence_lineage	cl_candidates	note
d	Lung	Tuft cell	557	-	tuft cell	CD16-negative, CD56-bright natural killer cell, human	-	queue_rank=1;ratio=0.019;error=True;anchor_flagged=True
d	Pancreas	B cell	1605	-	type B pancreatic cell	B cell	-	queue_rank=2;ratio=0.085;error=True;anchor_flagged=True
d	Liver	Lymphoid cell	8217	-	lymphocyte	megakaryocyte	-	queue_rank=3;ratio=0.094;error=False;anchor_flagged=False
d	Skin	Conventional dendritic cell	1280	-	conventional dendritic cell	plasmacytoid dendritic cell, human	-	queue_rank=4;ratio=0.104;error=True;anchor_flagged=False
d	Liver	Neutrophilic granulocyte	1237	-	neutrophil	Schwann cell	-	queue_rank=5;ratio=0.108;error=False;anchor_flagged=False
d	Skin	Conventional dendritic cell 1	711	-	conventional dendritic cell	blood vessel endothelial cell	-	queue_rank=6;ratio=0.137;error=False;anchor_flagged=True
d	Lung	Bronchial smooth muscle cell	10805	-	bronchial smooth muscle cell	secondary crest myofibroblast	-	queue_rank=7;ratio=0.137;error=True;anchor_flagged=True
d	Bone_marrow	Pre conventional dendritic cell	2967	-	conventional dendritic cell	plasmacytoid dendritic cell, human	-	queue_rank=8;ratio=0.152;error=True;anchor_flagged=False
d	Skin	Conventional dendritic cell 2	2579	-	conventional dendritic cell	neutrophil	-	queue_rank=9;ratio=0.157;error=False;anchor_flagged=False
d	Bone_marrow	Mesenchymal cell	528	-	mesenchymal cell	stromal cell of bone marrow	-	queue_rank=10;ratio=0.193;error=False;anchor_flagged=False
d	Spleen	Conventional dendritic cell	940	-	conventional dendritic cell	plasmacytoid dendritic cell	-	queue_rank=11;ratio=0.199;error=True;anchor_flagged=False
d	Skin	Monocyte-derived macrophage	2184	-	macrophage	eurydendroid cell	-	queue_rank=12;ratio=0.206;error=False;anchor_flagged=False
d	Spleen	Lymphoid cell	1978	-	lymphocyte	stromal cell	-	queue_rank=13;ratio=0.221;error=False;anchor_flagged=False
d	Kidney	Ureteric epithelial cell	554	-	epithelial cell	papillary tips cell	-	queue_rank=14;ratio=0.232;error=False;anchor_flagged=False
d	Kidney	Myofibroblast	581	-	myofibroblast cell	stromal cell	-	queue_rank=15;ratio=0.266;error=True;anchor_flagged=False
d	Spleen	Memory CD8 T cell	11441	-	central memory CD8-positive, alpha-beta T cell	mature NK T cell	-	queue_rank=16;ratio=0.308;error=False;anchor_flagged=False
d	Pancreas	Fibroblast	2463	-	fibroblast	mesenchymal stem cell	-	queue_rank=17;ratio=0.311;error=False;anchor_flagged=False
