panel	parameter	value	is_default	heca_cross_pct	ts_cross_pct	precision_pct	flags	two_tier_recall_pct	queue_only_recall_pct	n_types	n_errors	fold	fisher_p
a-d	support	0.0	False	8.54	1.74	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	support	0.05	False	5.00	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	support	0.1	True	4.42	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	support	0.2	False	4.38	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	support	0.35	False	5.00	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	min_ref	50	False	3.93	0.00	71.4	7	52.6	52.6	259	19	2.51	0.0454
a-d	min_ref	100	True	4.42	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	min_ref	250	False	4.76	1.15	71.4	7	44.4	50.0	251	18	2.49	0.0641
a-d	min_ref	500	False	4.69	1.11	71.4	7	50.0	50.0	246	18	2.61	0.0580
a-d	size_floor	200	False	5.45	0.00	71.4	7	47.4	47.4	263	19	1.80	0.1972
a-d	size_floor	500	True	4.42	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	size_floor	1000	False	3.73	0.00	66.7	3	40.0	40.0	231	15	2.50	0.1064
a-d	size_floor	2000	False	3.62	0.00	50.0	2	36.4	36.4	202	11	NA	1.0000
a-d	topk	3	False	4.42	0.00	50.0	10	47.4	47.4	256	19	2.62	0.0397
a-d	topk	5	True	4.42	0.00	71.4	7	47.4	47.4	256	19	2.62	0.0397
a-d	topk	8	False	4.42	0.00	NA	0	47.4	47.4	256	19	2.62	0.0397
