panel	key	value
a	HRA crosswalks (n=315)	n=315;max_precision=73.9;at_coverage=28;coverage_at_80pct_precision=unreachable
b	HRA crosswalks (n=315)	AUC=0.6843
a	hand-curated gold (n=282)	n=282;max_precision=87.1;at_coverage=11;coverage_at_80pct_precision=36
b	hand-curated gold (n=282)	AUC=0.7260
b	HRA crosswalks, score-shape features only	AUC=0.6527
c	Intestine Erythrocyte -> progenitor cell	conf=0.9861;n_cells=1391;correct_in_top5=True
c	Adipose Smooth muscle cell -> fibroblast	conf=0.9074;n_cells=7904;correct_in_top5=False
c	Lung Mast cell -> basophil	conf=0.9063;n_cells=4068;correct_in_top5=True
c	Blood Megakaryocyte -> platelet	conf=0.8867;n_cells=4165;correct_in_top5=True
c	Ureter Myeloid cell -> leukocyte	conf=0.8714;n_cells=4406;correct_in_top5=True
c	Skin Erythroid progenitor cell -> erythrocyte	conf=0.8526;n_cells=1159;correct_in_top5=True
c	Lung Bronchial smooth muscle cell -> stromal cell	conf=0.8522;n_cells=10805;correct_in_top5=False
